target	date	time	rank	keyword	urls
01-1	2020-03-09	08:35:49	01	식약처	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%9D%EC%95%BD%EC%B2%98	
01-1	2020-03-09	08:35:49	02	마스크 대리구매	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%8A%A4%ED%81%AC%20%EB%8C%80%EB%A6%AC%EA%B5%AC%EB%A7%A4	
01-1	2020-03-09	08:35:49	03	홍기준	https://search.naver.com/search.naver?where=nexearch&query=%ED%99%8D%EA%B8%B0%EC%A4%80	
01-1	2020-03-09	08:35:49	04	권선2동	https://search.naver.com/search.naver?where=nexearch&query=%EA%B6%8C%EC%84%A02%EB%8F%99	
01-1	2020-03-09	08:35:49	05	서울백병원	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%EB%B0%B1%EB%B3%91%EC%9B%90	
01-1	2020-03-09	08:35:49	06	약국 마스크 판매시간	https://search.naver.com/search.naver?where=nexearch&query=%EC%95%BD%EA%B5%AD%20%EB%A7%88%EC%8A%A4%ED%81%AC%20%ED%8C%90%EB%A7%A4%EC%8B%9C%EA%B0%84	
01-1	2020-03-09	08:35:49	07	맨유 맨시티	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%A8%EC%9C%A0%20%EB%A7%A8%EC%8B%9C%ED%8B%B0	
01-1	2020-03-09	08:35:49	08	박재범	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%EC%9E%AC%EB%B2%94	
01-1	2020-03-09	08:35:49	09	백병원	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%B1%EB%B3%91%EC%9B%90	
01-1	2020-03-09	08:35:49	10	북한	https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%81%ED%95%9C	
01-1	2020-03-09	08:35:49	11	삼성전자 화재	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%20%ED%99%94%EC%9E%AC	
01-1	2020-03-09	08:35:49	12	북한 미사일	https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%81%ED%95%9C%20%EB%AF%B8%EC%82%AC%EC%9D%BC	
01-1	2020-03-09	08:35:49	13	정찬성	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%95%EC%B0%AC%EC%84%B1	
01-1	2020-03-09	08:35:49	14	국제유가	https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EC%A0%9C%EC%9C%A0%EA%B0%80	
01-1	2020-03-09	08:35:49	15	마스크5부제	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%8A%A4%ED%81%AC5%EB%B6%80%EC%A0%9C	
01-1	2020-03-09	08:35:49	16	출생연도 끝자리	https://search.naver.com/search.naver?where=nexearch&query=%EC%B6%9C%EC%83%9D%EC%97%B0%EB%8F%84%20%EB%81%9D%EC%9E%90%EB%A6%AC	
01-1	2020-03-09	08:35:49	17	삼성반도체 화재	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%BC%EC%84%B1%EB%B0%98%EB%8F%84%EC%B2%B4%20%ED%99%94%EC%9E%AC	
01-1	2020-03-09	08:35:49	18	김형묵	https://search.naver.com/search.naver?where=nexearch&query=%EA%B9%80%ED%98%95%EB%AC%B5	
01-1	2020-03-09	08:35:49	19	줌바댄스	https://search.naver.com/search.naver?where=nexearch&query=%EC%A4%8C%EB%B0%94%EB%8C%84%EC%8A%A4	
01-1	2020-03-09	08:35:49	20	유가	https://search.naver.com/search.naver?where=nexearch&query=%EC%9C%A0%EA%B0%80	
01-2	2020-03-09	08:35:49	01	코로나 극복	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%98%20%EA%B7%B9%EB%B3%B5	
01-2	2020-03-09	08:35:49	02	오늘부터 마스크 5부제	https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%8A%98%EB%B6%80%ED%84%B0%20%EB%A7%88%EC%8A%A4%ED%81%AC%205%EB%B6%80%EC%A0%9C	
01-2	2020-03-09	08:35:49	03	마스크 대리구매	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%8A%A4%ED%81%AC%20%EB%8C%80%EB%A6%AC%EA%B5%AC%EB%A7%A4	
01-2	2020-03-09	08:35:49	04	오늘 날씨	https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%8A%98%20%EB%82%A0%EC%94%A8	
01-2	2020-03-09	08:35:49	05	사회적 거리두기	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%AC%ED%9A%8C%EC%A0%81%20%EA%B1%B0%EB%A6%AC%EB%91%90%EA%B8%B0	
01-2	2020-03-09	08:35:49	06	신천지 교인	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%A0%EC%B2%9C%EC%A7%80%20%EA%B5%90%EC%9D%B8	
01-2	2020-03-09	08:35:49	07	삼성전자 화성공장서 화재	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90%20%ED%99%94%EC%84%B1%EA%B3%B5%EC%9E%A5%EC%84%9C%20%ED%99%94%EC%9E%AC	
01-2	2020-03-09	08:35:49	08	미국 코로나 19	https://search.naver.com/search.naver?where=nexearch&query=%EB%AF%B8%EA%B5%AD%20%EC%BD%94%EB%A1%9C%EB%82%98%2019	
01-2	2020-03-09	08:35:49	09	코로나19 경남 앱	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%20%EA%B2%BD%EB%82%A8%20%EC%95%B1	
01-2	2020-03-09	08:35:49	10	르노삼성 노조	https://search.naver.com/search.naver?where=nexearch&query=%EB%A5%B4%EB%85%B8%EC%82%BC%EC%84%B1%20%EB%85%B8%EC%A1%B0	
01-3	2020-03-09	08:35:49	01	방탄소년단 ON 활동 마무리	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8%20ON%20%ED%99%9C%EB%8F%99%20%EB%A7%88%EB%AC%B4%EB%A6%AC	
01-3	2020-03-09	08:35:49	02	음주운전 홍기준	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%8C%EC%A3%BC%EC%9A%B4%EC%A0%84%20%ED%99%8D%EA%B8%B0%EC%A4%80	
01-3	2020-03-09	08:35:49	03	피겨 이해인	https://search.naver.com/search.naver?where=nexearch&query=%ED%94%BC%EA%B2%A8%20%EC%9D%B4%ED%95%B4%EC%9D%B8	
01-3	2020-03-09	08:35:49	04	4대 프로스포츠 올스톱	https://search.naver.com/search.naver?where=nexearch&query=4%EB%8C%80%20%ED%94%84%EB%A1%9C%EC%8A%A4%ED%8F%AC%EC%B8%A0%20%EC%98%AC%EC%8A%A4%ED%86%B1	
01-3	2020-03-09	08:35:49	05	IOC 여성스포츠상 수상	https://search.naver.com/search.naver?where=nexearch&query=IOC%20%EC%97%AC%EC%84%B1%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%83%81%20%EC%88%98%EC%83%81	
01-3	2020-03-09	08:35:49	06	한예슬 안녕 이쁜이들	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EC%98%88%EC%8A%AC%20%EC%95%88%EB%85%95%20%EC%9D%B4%EC%81%9C%EC%9D%B4%EB%93%A4	
01-3	2020-03-09	08:35:49	07	미운우리새끼 육성재	https://search.naver.com/search.naver?where=nexearch&query=%EB%AF%B8%EC%9A%B4%EC%9A%B0%EB%A6%AC%EC%83%88%EB%81%BC%20%EC%9C%A1%EC%84%B1%EC%9E%AC	
01-3	2020-03-09	08:35:49	08	썸바디2 김소리	https://search.naver.com/search.naver?where=nexearch&query=%EC%8D%B8%EB%B0%94%EB%94%942%20%EA%B9%80%EC%86%8C%EB%A6%AC	
01-3	2020-03-09	08:35:49	09	집사부일체 육성재	https://search.naver.com/search.naver?where=nexearch&query=%EC%A7%91%EC%82%AC%EB%B6%80%EC%9D%BC%EC%B2%B4%20%EC%9C%A1%EC%84%B1%EC%9E%AC	
01-3	2020-03-09	08:35:49	10	사재기 의혹 오반	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%AC%EC%9E%AC%EA%B8%B0%20%EC%9D%98%ED%98%B9%20%EC%98%A4%EB%B0%98	
03	2020-03-09	08:35:49	01	[13회 예고] 두렵구나? 대표님이 나 좋아할까 봐… 〈이태원 클라쓰(Itaewon class)〉	https://www.youtube.com/watch?v=zicML3KeO4k
03	2020-03-09	08:35:49	02	박근혜 힘이 솟는 기세에 눌려 숨어야 할 운세 [류동학 인문명리학자]	https://www.youtube.com/watch?v=_SHkGPP0lcU
03	2020-03-09	08:35:49	03	집에 갇힌 평균 연령 24세 아이들(?)의 근황	https://www.youtube.com/watch?v=ET4a1zm1q7I
03	2020-03-09	08:35:49	04	※한'계란' 없는 위생관리※ 전국 각지 🥚들 총집합★ 방귀냄새도 훈제란 내 난다는 달걀 공장 알바 리뷰ㅣ워크맨 ep.41	https://www.youtube.com/watch?v=LHE7iumI5Fw
03	2020-03-09	08:35:49	05	한국은 막고 일본은 안막았던 베트남 근황, "현재 전세계가 한국제품 달라는데, 일본의 예상치 못한 일까지 겪게된 베트남 현상황"	https://www.youtube.com/watch?v=7qJX0W3HjmY
03	2020-03-09	08:35:49	06	분노의 숟가락질.. 달고나 커피 만들기 [박막례 할머니]	https://www.youtube.com/watch?v=jEU3_rEMnQw
03	2020-03-09	08:35:49	07	[ENG/CHN/IND/JPN]🤵EP.1-1 민호, 피오의 극과극 옷장 대공개!! 할 건 다 하는 패.션.유.튜.버 | 마포멋쟁이 풀버전	https://www.youtube.com/watch?v=oEQdTw13pO0
03	2020-03-09	08:35:49	08	악마가 된다면?ㅋㅋㅋ(feat.급식왕 최고 악당은)	https://www.youtube.com/watch?v=rsrzUD6mLV8
