target	date	time	rank	keyword	urls
01-1	2020-03-04	08:18:18	01	제주도청	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%A3%BC%EB%8F%84%EC%B2%AD	
01-1	2020-03-04	08:18:18	02	이지은	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EC%A7%80%EC%9D%80	
01-1	2020-03-04	08:18:18	03	롯데케미칼	https://search.naver.com/search.naver?where=nexearch&query=%EB%A1%AF%EB%8D%B0%EC%BC%80%EB%AF%B8%EC%B9%BC	
01-1	2020-03-04	08:18:18	04	이지은 소피아	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EC%A7%80%EC%9D%80%20%EC%86%8C%ED%94%BC%EC%95%84	
01-1	2020-03-04	08:18:18	05	소피아	https://search.naver.com/search.naver?where=nexearch&query=%EC%86%8C%ED%94%BC%EC%95%84	
01-1	2020-03-04	08:18:18	06	이지은 사망	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EC%A7%80%EC%9D%80%20%EC%82%AC%EB%A7%9D	
01-1	2020-03-04	08:18:18	07	루나	https://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EB%82%98	
01-1	2020-03-04	08:18:18	08	첼시 리버풀	https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%BC%EC%8B%9C%20%EB%A6%AC%EB%B2%84%ED%92%80	
01-1	2020-03-04	08:18:18	09	수원생명샘교회	https://search.naver.com/search.naver?where=nexearch&query=%EC%88%98%EC%9B%90%EC%83%9D%EB%AA%85%EC%83%98%EA%B5%90%ED%9A%8C	
01-1	2020-03-04	08:18:18	10	제주 확진자	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%A3%BC%20%ED%99%95%EC%A7%84%EC%9E%90	
01-1	2020-03-04	08:18:18	11	제주 코로나	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%A3%BC%20%EC%BD%94%EB%A1%9C%EB%82%98	
01-1	2020-03-04	08:18:18	12	시간위의 집	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%9C%EA%B0%84%EC%9C%84%EC%9D%98%20%EC%A7%91	
01-1	2020-03-04	08:18:18	13	김여정	https://search.naver.com/search.naver?where=nexearch&query=%EA%B9%80%EC%97%AC%EC%A0%95	
01-1	2020-03-04	08:18:18	14	설리	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A4%EB%A6%AC	
01-1	2020-03-04	08:18:18	15	서산	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%82%B0	
01-1	2020-03-04	08:18:18	16	제주 코로나 4번째	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9C%EC%A3%BC%20%EC%BD%94%EB%A1%9C%EB%82%98%204%EB%B2%88%EC%A7%B8	
01-1	2020-03-04	08:18:18	17	미국 금리인하	https://search.naver.com/search.naver?where=nexearch&query=%EB%AF%B8%EA%B5%AD%20%EA%B8%88%EB%A6%AC%EC%9D%B8%ED%95%98	
01-1	2020-03-04	08:18:18	18	오늘 서울 날씨	https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EB%8A%98%20%EC%84%9C%EC%9A%B8%20%EB%82%A0%EC%94%A8	
01-1	2020-03-04	08:18:18	19	색즉시공	https://search.naver.com/search.naver?where=nexearch&query=%EC%83%89%EC%A6%89%EC%8B%9C%EA%B3%B5	
01-1	2020-03-04	08:18:18	20	안혜경	https://search.naver.com/search.naver?where=nexearch&query=%EC%95%88%ED%98%9C%EA%B2%BD	
01-2	2020-03-04	08:18:18	01	확진자 발생	https://search.naver.com/search.naver?where=nexearch&query=%ED%99%95%EC%A7%84%EC%9E%90%20%EB%B0%9C%EC%83%9D	
01-2	2020-03-04	08:18:18	02	대구 신천지	https://search.naver.com/search.naver?where=nexearch&query=%EB%8C%80%EA%B5%AC%20%EC%8B%A0%EC%B2%9C%EC%A7%80	
01-2	2020-03-04	08:18:18	03	코로나 확산에	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%98%20%ED%99%95%EC%82%B0%EC%97%90	
01-2	2020-03-04	08:18:18	04	코로나19 대응	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%20%EB%8C%80%EC%9D%91	
01-2	2020-03-04	08:18:18	05	IOC 도쿄올림픽 성공에 전력	https://search.naver.com/search.naver?where=nexearch&query=IOC%20%EB%8F%84%EC%BF%84%EC%98%AC%EB%A6%BC%ED%94%BD%20%EC%84%B1%EA%B3%B5%EC%97%90%20%EC%A0%84%EB%A0%A5	
01-2	2020-03-04	08:18:18	06	누적 확진자 2천502명	https://search.naver.com/search.naver?where=nexearch&query=%EB%88%84%EC%A0%81%20%ED%99%95%EC%A7%84%EC%9E%90%202%EC%B2%9C502%EB%AA%85	
01-2	2020-03-04	08:18:18	07	코로나19 사태	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%20%EC%82%AC%ED%83%9C	
01-2	2020-03-04	08:18:18	08	타다 금지법	https://search.naver.com/search.naver?where=nexearch&query=%ED%83%80%EB%8B%A4%20%EA%B8%88%EC%A7%80%EB%B2%95	
01-2	2020-03-04	08:18:18	09	1인당 국민소득	https://search.naver.com/search.naver?where=nexearch&query=1%EC%9D%B8%EB%8B%B9%20%EA%B5%AD%EB%AF%BC%EC%86%8C%EB%93%9D	
01-2	2020-03-04	08:18:18	10	코로나 공포에	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%98%20%EA%B3%B5%ED%8F%AC%EC%97%90	
01-3	2020-03-04	08:18:18	01	1000만원 기부	https://search.naver.com/search.naver?where=nexearch&query=1000%EB%A7%8C%EC%9B%90%20%EA%B8%B0%EB%B6%80	
01-3	2020-03-04	08:18:18	02	11년 만에 K리그 복귀	https://search.naver.com/search.naver?where=nexearch&query=11%EB%85%84%20%EB%A7%8C%EC%97%90%20K%EB%A6%AC%EA%B7%B8%20%EB%B3%B5%EA%B7%80	
01-3	2020-03-04	08:18:18	03	아이유 자가격리	https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%9D%B4%EC%9C%A0%20%EC%9E%90%EA%B0%80%EA%B2%A9%EB%A6%AC	
01-3	2020-03-04	08:18:18	04	프로야구 개막 연기	https://search.naver.com/search.naver?where=nexearch&query=%ED%94%84%EB%A1%9C%EC%95%BC%EA%B5%AC%20%EA%B0%9C%EB%A7%89%20%EC%97%B0%EA%B8%B0	
01-3	2020-03-04	08:18:18	05	코로나19로 연기	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%EB%A1%9C%20%EC%97%B0%EA%B8%B0	
01-3	2020-03-04	08:18:18	06	빌보드 핫 100 4위	https://search.naver.com/search.naver?where=nexearch&query=%EB%B9%8C%EB%B3%B4%EB%93%9C%20%ED%95%AB%20100%204%EC%9C%84	
01-3	2020-03-04	08:18:18	07	최지만 시범경기 첫 홈런	https://search.naver.com/search.naver?where=nexearch&query=%EC%B5%9C%EC%A7%80%EB%A7%8C%20%EC%8B%9C%EB%B2%94%EA%B2%BD%EA%B8%B0%20%EC%B2%AB%20%ED%99%88%EB%9F%B0	
01-3	2020-03-04	08:18:18	08	전속계약 논의 중	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%84%EC%86%8D%EA%B3%84%EC%95%BD%20%EB%85%BC%EC%9D%98%20%EC%A4%91	
01-3	2020-03-04	08:18:18	09	선한 영향력	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A0%ED%95%9C%20%EC%98%81%ED%96%A5%EB%A0%A5	
01-3	2020-03-04	08:18:18	10	도쿄행 확정	https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%84%EC%BF%84%ED%96%89%20%ED%99%95%EC%A0%95	
03	2020-03-04	08:18:18	01	신천지 내부영상 단독 입수! '코로나 사태' 1달 전 이만희 총회장이 '버럭'하면 신도들은..."말해봐!!!"	https://www.youtube.com/watch?v=OOqdrCSEbv0
03	2020-03-04	08:18:18	02	[풀버전] 스트레이트 81회 - 이만희와 신천지 / 돌아온 사법농단	https://www.youtube.com/watch?v=oGK4SUkS3sM
03	2020-03-04	08:18:18	03	(긴급)"이만희 체포!" 이재명 지사 출동	https://www.youtube.com/watch?v=muSW5UcfstM
03	2020-03-04	08:18:18	04	훈련사도 포기한 강아지 샤페이 또또 2부｜내 강아지의 공격성 The aggression of my dog	https://www.youtube.com/watch?v=UULaol26dIs
03	2020-03-04	08:18:18	05	[BANGTAN BOMB] BTS reacts to BTS debut+5 Days  - BTS (방탄소년단)	https://www.youtube.com/watch?v=ZkVuGYRCS7s
03	2020-03-04	08:18:18	06	르노삼성 XM3 생방송 시승기 2부…자! 같이 달려보시죵!	https://www.youtube.com/watch?v=5o6hdETOH1c
03	2020-03-04	08:18:18	07	권성동 추미애에게 호통 "장관이 검사인가?"..."사건 왜 지휘했나?"	https://www.youtube.com/watch?v=inLtaz5mb3Y
03	2020-03-04	08:18:18	08	눈물바다가 된 대표님과 케미언니의 결혼식 날! | 성수커플	https://www.youtube.com/watch?v=m9CnDAMf_wg
03	2020-03-04	08:18:18	09	전세계를 홀린 '방탄소년단'의 'ON' 인기가요 컴백무대! / DIRECTOR's CUT	https://www.youtube.com/watch?v=pwD09TYSGeE
03	2020-03-04	08:18:18	10	[3月의 무도] 저리 가 만지지 마!!!😣 얼굴 못생겨져 만지지 마!!!!!😫 "美男이시네요" 1편  infinite challenge	https://www.youtube.com/watch?v=8TqEdYO0iRw
03	2020-03-04	08:18:18	11	"엎드려 사죄 구합니다" 두 번 무릎 꿇은 이만희 신천지 총회장 (풀영상) / SBS	https://www.youtube.com/watch?v=cfHtYTtjTLU
03	2020-03-04	08:18:18	12	[알릴레오 라이브 22회] 방역은 과학이다! (20.03.03)	https://www.youtube.com/watch?v=9up2Hegtoaw
03	2020-03-04	08:18:18	13	[3/3]변상욱,박원순,이태규,이재갑,류밀희,원종우,서정성│김어준의 뉴스공장	https://www.youtube.com/watch?v=g1Tu90BkRf0
03	2020-03-04	08:18:18	14	처참하게 깨진 42승 0패 전설의 복서 !!! 타이슨 퓨리가 이길 수 밖에 없었던 이유 !!	https://www.youtube.com/watch?v=bNeeaBEwG2s
03	2020-03-04	08:18:18	15	소행성 유튜브 채널이 해킹을 당했습니다...	https://www.youtube.com/watch?v=5j4eICbtupM
03	2020-03-04	08:18:18	16	[요약] 마성의 매력 심교수!! 구구절절 옳은 말만 하는 카리스마 모먼트♡ 《낭만닥터 김사부2 / 스브스캐치》	https://www.youtube.com/watch?v=w8CTlMVpJuQ
03	2020-03-04	08:18:18	17	엘리베이터에서 마주치는 그 남자. 사건파일118. 스토커 | 공포 공소시효 [밍꼬발랄]	https://www.youtube.com/watch?v=s3dATwDSvlA
03	2020-03-04	08:18:18	18	방탄소년단 'ON’ 뮤직뱅크 1위 앵콜 직캠 (BTS 'ON' Encore Fancam) │ @MusicBank 200228	https://www.youtube.com/watch?v=Kc8b4cWEnLI
03	2020-03-04	08:18:18	19	추미애 향해 "신천지 압색 왜?" 궤변 내놓던 권성동의 굴욕	https://www.youtube.com/watch?v=Qr2iEl5iwi4
03	2020-03-04	08:18:18	20	[LIVE] 르노삼성 XM3 리뷰 (시승, 라이브, 주행, 실시간, 디자인, 공간, 인테리어)	https://www.youtube.com/watch?v=h6Be-8o9nfc
03	2020-03-04	08:18:18	21	[무편집] 타임머신 타고 내리는 거 안 끊고 보여드립니다 (호도이 진짜 멀미함) | 대탈출3 greatescape3 EP.2	https://www.youtube.com/watch?v=5GCJZqq51Fs
03	2020-03-04	08:18:18	22	[김광일의 입] 이인영 “똥물!” vs 심상정 “탄핵!”	https://www.youtube.com/watch?v=qie0HKbuC-c
03	2020-03-04	08:18:18	23	세찬아..엄마가 너 전화번호 달래! 전소민❤양세찬 러브라인ZIP 4탄 《런닝맨 / 예능맛ZIP / RunningMan 》	https://www.youtube.com/watch?v=znYg-O3tKFA
03	2020-03-04	08:18:18	24	[풀영상] 신천지 이만희 총회장 '코로나19' 기자회견	https://www.youtube.com/watch?v=H-5boHmeovQ
03	2020-03-04	08:18:18	25	중국인 입국 왜 안막나 묻자…	https://www.youtube.com/watch?v=8FdCwxQRW8I
03	2020-03-04	08:18:18	26	[황태순-TV] 홍준표의 쓸쓸한 퇴장, 그 막전막후!	https://www.youtube.com/watch?v=v3YU6xEURnk
03	2020-03-04	08:18:18	27	??? : 90만 채널이면서 유행어도 하나 없네요 ㅉㅉ	https://www.youtube.com/watch?v=VEgzrpvnbsc
03	2020-03-04	08:18:18	28	(일일뉴스) 이낙연, 이만희 문자 의혹에 화들짝!!! / 신의한수 20.03.03	https://www.youtube.com/watch?v=fU27AtCNFsc
03	2020-03-04	08:18:18	29	신천지 교주 이만희의 전재산 총공개	https://www.youtube.com/watch?v=D-mvt8VUjhw
03	2020-03-04	08:18:18	30	무려 '7억' 무엇을?!	https://www.youtube.com/watch?v=5jEx1z2aSlQ
03	2020-03-04	08:18:18	31	글로벌 주식 시장 하락, 예상치 못한 고난, 그리고 반등을 향한 소망	https://www.youtube.com/watch?v=DvRIuhoCi5k
03	2020-03-04	08:18:18	32	[풀버전] "이 가격에 이런 차를?!" 르노삼성이 목숨 걸고 만든 차 XM3의 모든 것!!!(카메오. 기아 신형 쏘렌토)	https://www.youtube.com/watch?v=5n2_7tJar7k
03	2020-03-04	08:18:18	33	이만희 회견, 그녀는 누구? 朴시계는 무엇?	https://www.youtube.com/watch?v=V8hoIwnOIZQ
03	2020-03-04	08:18:18	34	이건 진짜 도저히 못 참겠네요...	https://www.youtube.com/watch?v=xKQ8lh1qlb8
03	2020-03-04	08:18:18	35	[YTN LIVE] 신천지 이만희 총회장 기자회견	https://www.youtube.com/watch?v=E3aiScscUJA
03	2020-03-04	08:18:18	36	남자 비제이들의 자동차  【차 값만 15억】	https://www.youtube.com/watch?v=Vy7gvWF6fPo
03	2020-03-04	08:18:18	37	[장용진의 학익진]  ‘신천지 압수수색 못한다’던 윤석열... 사흘 만의 태세 전환, 왜?	https://www.youtube.com/watch?v=5VMc3FjMKWg
