target	date	time	rank	urls	keyword
03	2020-01-27	00:43:26	37	https://www.youtube.com/watch?v=HkZVgxyjnys	[욱토크] 스페셜 '멋쁨이라 쓰고 '장도연'이라 읽는다! 뼈그우먼 장도연 모음' /Wook Talk Special | SBS NOW
03	2020-01-27	00:43:26	38	https://www.youtube.com/watch?v=7muKdkHimms	인간을 재배해 영생을 얻는 외계종족
03	2020-01-27	00:43:26	39	https://www.youtube.com/watch?v=uSgoTfbCN6g	일본인들이 인천공항을 보며 눈물 흘리는 이유 / 한국에 다 뺏겼다며 분통폭발하는 일본 [잡식왕]
03	2020-01-27	00:43:26	40	https://www.youtube.com/watch?v=_fcPTfd9f3k	디디와 함께 출근했어요!
03	2020-01-27	00:43:26	41	https://www.youtube.com/watch?v=ylWF4gB8Nq8	[이춘근의 국제정치 127회] ① 북한 邪敎(사교) 神政 體制(신정 체제: Theocracy)의 종말이 보인다
03	2020-01-27	00:43:26	42	https://www.youtube.com/watch?v=CmQxQe3SZGo	[속보] 국내 세 번째 '우한 폐렴' 확진자 발생…54세 한국인 / 연합뉴스TV (YonhapnewsTV)
03	2020-01-27	00:43:26	43	https://www.youtube.com/watch?v=cCXF10k9IVw	원하는 거 스스로 표현하는 강아지ㅣ집사는 거들뿐
03	2020-01-27	00:43:26	44	https://www.youtube.com/watch?v=m1sDnNEeBbA	사칭범 잡았습니다.
03	2020-01-27	00:43:26	45	https://www.youtube.com/watch?v=Qr_o4DDsdI4	참아봐라 웃음참기 모음집#5 ㅣ호돌이 영상툰
03	2020-01-27	00:43:26	46	https://www.youtube.com/watch?v=5txcrB_aMHU	부모님 앞에서 별풍선 리액션하기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
03	2020-01-27	00:43:26	47	https://www.youtube.com/watch?v=hmF65TFBvG4	살려주세요, 꺼내주세요
03	2020-01-27	00:43:26	48	https://www.youtube.com/watch?v=Ge39QP_jB1o	특집 오세훈 단독 인터뷰!!! 검찰 초토화에 무서운 노림수 있다!!! / 신의한수
03	2020-01-27	00:43:26	49	https://www.youtube.com/watch?v=xhoZBG2JdHM	(단독)김정은최측근 고위탈북가족 미국망명성공
03	2020-01-27	00:43:26	50	https://www.youtube.com/watch?v=5jld2kdfYmQ	[#사랑의불시착] 참을 수 없는 표치수 주둥아리의 가벼움,, 단이 엄마 앞에서 술술 불어버린 고오급 정보들 (뚜맞각) | Crash Landing on You | #Diggle
03	2020-01-27	00:43:26	51	https://www.youtube.com/watch?v=Jnu7Z3W3QuA	(ENG&Español CC) 골디 비하인드 (방탄소년단 떤배님을 만나다!) GoldenDiscAwards Behind (with BTS)
03	2020-01-27	00:43:26	52	https://www.youtube.com/watch?v=ZHMYyhEwMgk	(몰카) 수면 마취후 깨어났는데 30년이 지나있다면....?!! 비몽사몽 정신없는 몰카ㅋㅋㅋㅋㅋㅋ
03	2020-01-27	00:43:26	53	https://www.youtube.com/watch?v=uOhrHm4wXmI	치킨 먹는 유형ㅋㅋㅋㅋㅋㅋㅋ [밍꼬발랄]
03	2020-01-27	00:43:26	54	https://www.youtube.com/watch?v=jYzQBWho8tE	화들짝 놀란 與 [설 특집 따따부따]
03	2020-01-27	00:43:26	55	https://www.youtube.com/watch?v=YQikm-jUckM	민영이랑 승배가 싸웠어요
03	2020-01-27	00:43:26	56	https://www.youtube.com/watch?v=rOCVOr130X8	영국음식이 진짜로 얼마나 맛없는지 보여주는 손흥민!! (입맛은 아직 100% 한국인🇰🇷)
03	2020-01-27	00:43:26	57	https://www.youtube.com/watch?v=d2DMcY3YdO4	[11화 예고] 현빈X손예진 둘리커플 행복도 잠시..오만석이 보고 있다? | 사랑의불시착 Crash Landing on You EP.11
