target	date	time	rank	title	contents	urls
04	2020-02-05	00:00:24	01	'8살 쌍둥이 참변' 부모도 위독한 상태..안타까운 사연	무면허 운전자가 낸 사고로 상대방 차의 8살 쌍둥이 자매가 숨진 가족, 알고 보니 부모도 위독한 상태라 아이들의 빈소도 차리지 못했습니다. 안타까운 사연 박선영 ..	http://v.media.daum.net/v/20200204203754396
04	2020-02-05	00:00:24	02	[사실은] 중국서 메르스 치료받은 한국인, 수십억 물었다?	<앵커> 이런 가운데 사람들 불안감을 더 키우는 근거 없는 이야기들도 여전히 퍼지고 있습니다. 그 가운데 하나가 지난 2015년 메르스 사태 때 중국에서 치료받은..	http://v.media.daum.net/v/20200204210605832
04	2020-02-05	00:00:24	03	"러시아 롯데쇼핑 지점장 아파트서 현지 20대여성 숨진 채 발견"	(모스크바=연합뉴스) 유철종 특파원 = 러시아 모스크바 시내 롯데백화점 점포 '롯데플라자(Lotte Plaza)'를 운영하는 현지 법인 '롯데 쇼핑 루스' 지점장..	http://v.media.daum.net/v/20200204191334900
04	2020-02-05	00:00:24	04	마스크 예산 삭감 비난한 한국당..당시 자료 보니 "더 깎자"	[앵커] 국회에선 취약계층에 마스크를 지원해주는 예산이 깎인 과정을 놓고 논란이 있었습니다. 한국당에서 '4+1 협의체가 관련 예산 114억 원을 밀실에서 삭감했..	http://v.media.daum.net/v/20200204204214472
04	2020-02-05	00:00:24	05	16번 환자 머문 광주21세기병원 '전체 봉쇄'..첫 코호트 격리	[앵커] 국내에서 신종 코로나바이러스 확진 환자가 또 나왔습니다. 광주에 사는 40대 여성으로 16번째 환자입니다. 이 여성은 태국에서 지난달 19일 입국해 확진..	http://v.media.daum.net/v/20200204201021970
04	2020-02-05	00:00:24	06	인천 호텔서 아일랜드인 기장 숨진 채 발견..타살 정황 없어	(인천=연합뉴스) 최은지 기자 = 인천 영종도 한 호텔에서 아일랜드인 항공기 기장이 숨진 채 발견돼 경찰이 수사에 나섰다. 4일 인천 중부경찰서에 따르면 전날 오..	http://v.media.daum.net/v/20200204202020115
04	2020-02-05	00:00:24	07	중국 신종코로나 환자, '우한 방문' 숨기고 의료진 30여명 접촉	(선양=연합뉴스) 차병섭 특파원 = 신종 코로나바이러스 감염증(신종코로나)이 가장 기승을 부리는 중국 후베이성 우한(武漢)을 방문했다가 이 병에 걸린 환자가 방문..	http://v.media.daum.net/v/20200204192400095
04	2020-02-05	00:00:24	08	밤새 마스크 만드는 직원들 "수십배 폭리 판매상보며 분통"	◆ 신종코로나 비상 / 대전 마스크 공장 가보니 ◆ 4일 대전에 위치한 마스크 제조업체 위텍코퍼레이션에서는 직원 40명이 모두 밤낮없이 일하고 있었다. 1분에 마..	http://v.media.daum.net/v/20200204180353430
04	2020-02-05	00:00:24	09	16번 확진자 감염 미스터리..질본 "우리가 봐도 이상하다"	태국에 여행을 다녀온 한국인 여성이 신종 코로나바이러스 감염증 확진 판정을 받았다. 국내 신종 코로나 16번째 확진 환자다. 그는 지난달 25일 신종코로나 의심 ..	http://v.media.daum.net/v/20200204165935048
04	2020-02-05	00:00:24	10	2살배기 아이 던지고 내동댕이쳐놓고.."놀이였다"	[뉴스데스크] ◀ 앵커 ▶ 대구의 한 어린이 집에서 보육 교사가 두 살배기 아이들을 집어 던지는 등 학대 정황이 확인 됐습니다. 해당 교사는 학대가 아니라 "놀이..	http://v.media.daum.net/v/20200204203438354
