target	date	time	rank	keyword	urls
02-1	2020-02-12	08:36:44	01	신혜선	https://search.daum.net/search?w=tot&q=%EC%8B%A0%ED%98%9C%EC%84%A0	
02-1	2020-02-12	08:36:44	02	갤럭시 s20	https://search.daum.net/search?w=tot&q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20s20	
02-1	2020-02-12	08:36:44	03	안소미 남편	https://search.daum.net/search?w=tot&q=%EC%95%88%EC%86%8C%EB%AF%B8%20%EB%82%A8%ED%8E%B8	
02-1	2020-02-12	08:36:44	04	샤론 최	https://search.daum.net/search?w=tot&q=%EC%83%A4%EB%A1%A0%20%EC%B5%9C	
02-1	2020-02-12	08:36:44	05	나쁜 사랑	https://search.daum.net/search?w=tot&q=%EB%82%98%EC%81%9C%20%EC%82%AC%EB%9E%91	
02-1	2020-02-12	08:36:44	06	기상청	https://search.daum.net/search?w=tot&q=%EA%B8%B0%EC%83%81%EC%B2%AD	
02-1	2020-02-12	08:36:44	07	최영미	https://search.daum.net/search?w=tot&q=%EC%B5%9C%EC%98%81%EB%AF%B8	
02-1	2020-02-12	08:36:44	08	일라이	https://search.daum.net/search?w=tot&q=%EC%9D%BC%EB%9D%BC%EC%9D%B4	
02-1	2020-02-12	08:36:44	09	갤럭시Z 플립	https://search.daum.net/search?w=tot&q=%EA%B0%A4%EB%9F%AD%EC%8B%9CZ%20%ED%94%8C%EB%A6%BD	
02-1	2020-02-12	08:36:44	10	정직한 후보	https://search.daum.net/search?w=tot&q=%EC%A0%95%EC%A7%81%ED%95%9C%20%ED%9B%84%EB%B3%B4	
02-2	2020-02-12	08:36:44	01	박진	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%A7%84	
02-2	2020-02-12	08:36:44	02	정년연장	https://search.daum.net/search?w=tot&q=%EC%A0%95%EB%85%84%EC%97%B0%EC%9E%A5	
02-2	2020-02-12	08:36:44	03	3번째 확진환자	https://search.daum.net/search?w=tot&q=3%EB%B2%88%EC%A7%B8%20%ED%99%95%EC%A7%84%ED%99%98%EC%9E%90	
02-2	2020-02-12	08:36:44	04	한샘	https://search.daum.net/search?w=tot&q=%ED%95%9C%EC%83%98	
02-2	2020-02-12	08:36:44	05	트램	https://search.daum.net/search?w=tot&q=%ED%8A%B8%EB%9E%A8	
02-2	2020-02-12	08:36:44	06	방용훈	https://search.daum.net/search?w=tot&q=%EB%B0%A9%EC%9A%A9%ED%9B%88	
02-2	2020-02-12	08:36:44	07	갤럭시 버즈 플러스	https://search.daum.net/search?w=tot&q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%B2%84%EC%A6%88%20%ED%94%8C%EB%9F%AC%EC%8A%A4	
02-2	2020-02-12	08:36:44	08	기간제 교사	https://search.daum.net/search?w=tot&q=%EA%B8%B0%EA%B0%84%EC%A0%9C%20%EA%B5%90%EC%82%AC	
02-2	2020-02-12	08:36:44	09	s20	https://search.daum.net/search?w=tot&q=s20	
02-2	2020-02-12	08:36:44	10	3차 전세기	https://search.daum.net/search?w=tot&q=3%EC%B0%A8%20%EC%A0%84%EC%84%B8%EA%B8%B0	
02-3	2020-02-12	08:36:44	01	일라이지연수	https://search.daum.net/search?w=tot&q=%EC%9D%BC%EB%9D%BC%EC%9D%B4%EC%A7%80%EC%97%B0%EC%88%98	
02-3	2020-02-12	08:36:44	02	기생충 이선균	https://search.daum.net/search?w=tot&q=%EA%B8%B0%EC%83%9D%EC%B6%A9%20%EC%9D%B4%EC%84%A0%EA%B7%A0	
02-3	2020-02-12	08:36:44	03	최우식	https://search.daum.net/search?w=tot&q=%EC%B5%9C%EC%9A%B0%EC%8B%9D	
02-3	2020-02-12	08:36:44	04	김혜림 엄마	https://search.daum.net/search?w=tot&q=%EA%B9%80%ED%98%9C%EB%A6%BC%20%EC%97%84%EB%A7%88	
02-3	2020-02-12	08:36:44	05	봉준호 감독	https://search.daum.net/search?w=tot&q=%EB%B4%89%EC%A4%80%ED%98%B8%20%EA%B0%90%EB%8F%85	
02-3	2020-02-12	08:36:44	06	여현수	https://search.daum.net/search?w=tot&q=%EC%97%AC%ED%98%84%EC%88%98	
02-3	2020-02-12	08:36:44	07	송강호	https://search.daum.net/search?w=tot&q=%EC%86%A1%EA%B0%95%ED%98%B8	
02-3	2020-02-12	08:36:44	08	최민환	https://search.daum.net/search?w=tot&q=%EC%B5%9C%EB%AF%BC%ED%99%98	
02-3	2020-02-12	08:36:44	09	율희	https://search.daum.net/search?w=tot&q=%EC%9C%A8%ED%9D%AC	
02-3	2020-02-12	08:36:44	10	노형욱	https://search.daum.net/search?w=tot&q=%EB%85%B8%ED%98%95%EC%9A%B1	
02-4	2020-02-12	08:36:44	01	서진용	https://search.daum.net/search?w=tot&q=%EC%84%9C%EC%A7%84%EC%9A%A9	
