target	date	time	rank	keyword	urls
02-1	2020-02-13	00:03:27	01	박성신	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%84%B1%EC%8B%A0	
02-1	2020-02-13	00:03:27	02	차수빈	https://search.daum.net/search?w=tot&q=%EC%B0%A8%EC%88%98%EB%B9%88	
02-1	2020-02-13	00:03:27	03	설하윤	https://search.daum.net/search?w=tot&q=%EC%84%A4%ED%95%98%EC%9C%A4	
02-1	2020-02-13	00:03:27	04	송대관	https://search.daum.net/search?w=tot&q=%EC%86%A1%EB%8C%80%EA%B4%80	
02-1	2020-02-13	00:03:27	05	고수정	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EC%88%98%EC%A0%95	
02-1	2020-02-13	00:03:27	06	박현우	https://search.daum.net/search?w=tot&q=%EB%B0%95%ED%98%84%EC%9A%B0	
02-1	2020-02-13	00:03:27	07	박재란	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%9E%AC%EB%9E%80	
02-1	2020-02-13	00:03:27	08	김양	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%96%91	
02-1	2020-02-13	00:03:27	09	최현미	https://search.daum.net/search?w=tot&q=%EC%B5%9C%ED%98%84%EB%AF%B8	
02-1	2020-02-13	00:03:27	10	나예원	https://search.daum.net/search?w=tot&q=%EB%82%98%EC%98%88%EC%9B%90	
02-2	2020-02-13	00:03:27	01	갤럭시 s20	https://search.daum.net/search?w=tot&q=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20s20	
02-2	2020-02-13	00:03:27	02	klm 항공	https://search.daum.net/search?w=tot&q=klm%20%ED%95%AD%EA%B3%B5	
02-2	2020-02-13	00:03:27	03	일본 크루즈	https://search.daum.net/search?w=tot&q=%EC%9D%BC%EB%B3%B8%20%ED%81%AC%EB%A3%A8%EC%A6%88	
02-2	2020-02-13	00:03:27	04	김용민	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%9A%A9%EB%AF%BC	
02-2	2020-02-13	00:03:27	05	백기완	https://search.daum.net/search?w=tot&q=%EB%B0%B1%EA%B8%B0%EC%99%84	
02-2	2020-02-13	00:03:27	06	소상공인	https://search.daum.net/search?w=tot&q=%EC%86%8C%EC%83%81%EA%B3%B5%EC%9D%B8	
02-2	2020-02-13	00:03:27	07	웨스터댐	https://search.daum.net/search?w=tot&q=%EC%9B%A8%EC%8A%A4%ED%84%B0%EB%8C%90	
02-2	2020-02-13	00:03:27	08	신창원	https://search.daum.net/search?w=tot&q=%EC%8B%A0%EC%B0%BD%EC%9B%90	
02-2	2020-02-13	00:03:27	09	여의도	https://search.daum.net/search?w=tot&q=%EC%97%AC%EC%9D%98%EB%8F%84	
02-2	2020-02-13	00:03:27	10	지소미아	https://search.daum.net/search?w=tot&q=%EC%A7%80%EC%86%8C%EB%AF%B8%EC%95%84	
02-3	2020-02-13	00:03:27	01	이영애 유지태	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%98%81%EC%95%A0%20%EC%9C%A0%EC%A7%80%ED%83%9C	
02-3	2020-02-13	00:03:27	02	도깨비	https://search.daum.net/search?w=tot&q=%EB%8F%84%EA%B9%A8%EB%B9%84	
02-3	2020-02-13	00:03:27	03	차이나는 클라스	https://search.daum.net/search?w=tot&q=%EC%B0%A8%EC%9D%B4%EB%82%98%EB%8A%94%20%ED%81%B4%EB%9D%BC%EC%8A%A4	
02-3	2020-02-13	00:03:27	04	남태현	https://search.daum.net/search?w=tot&q=%EB%82%A8%ED%83%9C%ED%98%84	
02-3	2020-02-13	00:03:27	05	기생충 아카데미	https://search.daum.net/search?w=tot&q=%EA%B8%B0%EC%83%9D%EC%B6%A9%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8	
02-3	2020-02-13	00:03:27	06	금잔디	https://search.daum.net/search?w=tot&q=%EA%B8%88%EC%9E%94%EB%94%94	
02-3	2020-02-13	00:03:27	07	페르소나	https://search.daum.net/search?w=tot&q=%ED%8E%98%EB%A5%B4%EC%86%8C%EB%82%98	
02-3	2020-02-13	00:03:27	08	박서진	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%84%9C%EC%A7%84	
02-3	2020-02-13	00:03:27	09	이동욱 토크가하고싶어서	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EB%8F%99%EC%9A%B1%20%ED%86%A0%ED%81%AC%EA%B0%80%ED%95%98%EA%B3%A0%EC%8B%B6%EC%96%B4%EC%84%9C	
02-3	2020-02-13	00:03:27	10	엘렌 드제네레스	https://search.daum.net/search?w=tot&q=%EC%97%98%EB%A0%8C%20%EB%93%9C%EC%A0%9C%EB%84%A4%EB%A0%88%EC%8A%A4	
02-4	2020-02-13	00:03:27	01	유남규 탁구	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EB%82%A8%EA%B7%9C%20%ED%83%81%EA%B5%AC	
02-4	2020-02-13	00:03:27	02	김진수	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%A7%84%EC%88%98	
02-4	2020-02-13	00:03:27	03	전북현대	https://search.daum.net/search?w=tot&q=%EC%A0%84%EB%B6%81%ED%98%84%EB%8C%80	
02-4	2020-02-13	00:03:27	04	조규성	https://search.daum.net/search?w=tot&q=%EC%A1%B0%EA%B7%9C%EC%84%B1	
02-4	2020-02-13	00:03:27	05	모라이스 감독	https://search.daum.net/search?w=tot&q=%EB%AA%A8%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B0%90%EB%8F%85	
02-4	2020-02-13	00:03:27	06	오지영	https://search.daum.net/search?w=tot&q=%EC%98%A4%EC%A7%80%EC%98%81	
02-4	2020-02-13	00:03:27	07	대구fc	https://search.daum.net/search?w=tot&q=%EB%8C%80%EA%B5%ACfc	
02-4	2020-02-13	00:03:27	08	이동국	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EB%8F%99%EA%B5%AD	
02-4	2020-02-13	00:03:27	09	유상철	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%83%81%EC%B2%A0	
02-4	2020-02-13	00:03:27	10	김하성	https://search.daum.net/search?w=tot&q=%EA%B9%80%ED%95%98%EC%84%B1	
01-1	2020-02-13	00:03:27	01	고수정	https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%88%98%EC%A0%95	
01-1	2020-02-13	00:03:27	02	설하윤	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A4%ED%95%98%EC%9C%A4	
01-1	2020-02-13	00:03:27	03	차수빈	https://search.naver.com/search.naver?where=nexearch&query=%EC%B0%A8%EC%88%98%EB%B9%88	
01-1	2020-02-13	00:03:27	04	최현미	https://search.naver.com/search.naver?where=nexearch&query=%EC%B5%9C%ED%98%84%EB%AF%B8	
01-1	2020-02-13	00:03:27	05	송대관	https://search.naver.com/search.naver?where=nexearch&query=%EC%86%A1%EB%8C%80%EA%B4%80	
01-1	2020-02-13	00:03:27	06	갤럭시 z플립	https://search.naver.com/search.naver?where=nexearch&query=%EA%B0%A4%EB%9F%AD%EC%8B%9C%20z%ED%94%8C%EB%A6%BD	
01-1	2020-02-13	00:03:27	07	완벽한 타인	https://search.naver.com/search.naver?where=nexearch&query=%EC%99%84%EB%B2%BD%ED%95%9C%20%ED%83%80%EC%9D%B8	
01-1	2020-02-13	00:03:27	08	고수정 도깨비	https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%88%98%EC%A0%95%20%EB%8F%84%EA%B9%A8%EB%B9%84	
01-1	2020-02-13	00:03:27	09	신창원	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%A0%EC%B0%BD%EC%9B%90	
01-1	2020-02-13	00:03:27	10	고수정 지병	https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%88%98%EC%A0%95%20%EC%A7%80%EB%B3%91	
01-1	2020-02-13	00:03:27	11	핵소 고지	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%B5%EC%86%8C%20%EA%B3%A0%EC%A7%80	
01-1	2020-02-13	00:03:27	12	코로나19	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819	
01-1	2020-02-13	00:03:27	13	결백	https://search.naver.com/search.naver?where=nexearch&query=%EA%B2%B0%EB%B0%B1	
01-1	2020-02-13	00:03:27	14	최현미 복서	https://search.naver.com/search.naver?where=nexearch&query=%EC%B5%9C%ED%98%84%EB%AF%B8%20%EB%B3%B5%EC%84%9C	
01-1	2020-02-13	00:03:27	15	한끼줍쇼	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EB%81%BC%EC%A4%8D%EC%87%BC	
01-1	2020-02-13	00:03:27	16	박현우	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%ED%98%84%EC%9A%B0	
01-1	2020-02-13	00:03:27	17	남태현	https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%ED%83%9C%ED%98%84	
01-1	2020-02-13	00:03:27	18	박현우 작곡가	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%ED%98%84%EC%9A%B0%20%EC%9E%91%EA%B3%A1%EA%B0%80	
01-1	2020-02-13	00:03:27	19	류수영	https://search.naver.com/search.naver?where=nexearch&query=%EB%A5%98%EC%88%98%EC%98%81	
01-1	2020-02-13	00:03:27	20	라디오스타	https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%94%94%EC%98%A4%EC%8A%A4%ED%83%80	
01-2	2020-02-13	00:03:27	01	적자폭 확대	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%81%EC%9E%90%ED%8F%AD%20%ED%99%95%EB%8C%80	
01-2	2020-02-13	00:03:27	02	한수원 경주시	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EC%88%98%EC%9B%90%20%EA%B2%BD%EC%A3%BC%EC%8B%9C	
01-2	2020-02-13	00:03:27	03	황교안 종로 예비후보 등록	https://search.naver.com/search.naver?where=nexearch&query=%ED%99%A9%EA%B5%90%EC%95%88%20%EC%A2%85%EB%A1%9C%20%EC%98%88%EB%B9%84%ED%9B%84%EB%B3%B4%20%EB%93%B1%EB%A1%9D	
01-2	2020-02-13	00:03:27	04	코로나 확산에	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%98%20%ED%99%95%EC%82%B0%EC%97%90	
01-2	2020-02-13	00:03:27	05	탈옥수 신창원	https://search.naver.com/search.naver?where=nexearch&query=%ED%83%88%EC%98%A5%EC%88%98%20%EC%8B%A0%EC%B0%BD%EC%9B%90	
01-2	2020-02-13	00:03:27	06	아시아나항공 적자폭 확대	https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EC%8B%9C%EC%95%84%EB%82%98%ED%95%AD%EA%B3%B5%20%EC%A0%81%EC%9E%90%ED%8F%AD%20%ED%99%95%EB%8C%80	
01-2	2020-02-13	00:03:27	07	인권위 진정	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B8%EA%B6%8C%EC%9C%84%20%EC%A7%84%EC%A0%95	
01-2	2020-02-13	00:03:27	08	선거구 획정	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%A0%EA%B1%B0%EA%B5%AC%20%ED%9A%8D%EC%A0%95	
01-2	2020-02-13	00:03:27	09	신종 코로나 확산	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%A0%EC%A2%85%20%EC%BD%94%EB%A1%9C%EB%82%98%20%ED%99%95%EC%82%B0	
01-2	2020-02-13	00:03:27	10	코로나19 여파	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%20%EC%97%AC%ED%8C%8C	
01-3	2020-02-13	00:03:27	01	송승헌 저녁 같이 드실래요	https://search.naver.com/search.naver?where=nexearch&query=%EC%86%A1%EC%8A%B9%ED%97%8C%20%EC%A0%80%EB%85%81%20%EA%B0%99%EC%9D%B4%20%EB%93%9C%EC%8B%A4%EB%9E%98%EC%9A%94	
01-3	2020-02-13	00:03:27	02	기생충 흑백판	https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%B0%EC%83%9D%EC%B6%A9%20%ED%9D%91%EB%B0%B1%ED%8C%90	
01-3	2020-02-13	00:03:27	03	우아한 모녀 김흥수	https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%B0%EC%95%84%ED%95%9C%20%EB%AA%A8%EB%85%80%20%EA%B9%80%ED%9D%A5%EC%88%98	
01-3	2020-02-13	00:03:27	04	이미경 부회장 소감	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EB%AF%B8%EA%B2%BD%20%EB%B6%80%ED%9A%8C%EC%9E%A5%20%EC%86%8C%EA%B0%90	
01-3	2020-02-13	00:03:27	05	기생충 이미경	https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%B0%EC%83%9D%EC%B6%A9%20%EC%9D%B4%EB%AF%B8%EA%B2%BD	
01-3	2020-02-13	00:03:27	06	기생충 곽신애 대표	https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%B0%EC%83%9D%EC%B6%A9%20%EA%B3%BD%EC%8B%A0%EC%95%A0%20%EB%8C%80%ED%91%9C	
01-3	2020-02-13	00:03:27	07	유니버스 : 더 블랙 홀	https://search.naver.com/search.naver?where=nexearch&query=%EC%9C%A0%EB%8B%88%EB%B2%84%EC%8A%A4%20%3A%20%EB%8D%94%20%EB%B8%94%EB%9E%99%20%ED%99%80	
01-3	2020-02-13	00:03:27	08	펜타곤 Dr. 베베	https://search.naver.com/search.naver?where=nexearch&query=%ED%8E%9C%ED%83%80%EA%B3%A4%20Dr.%20%EB%B2%A0%EB%B2%A0	
01-3	2020-02-13	00:03:27	09	케이윌 스타쉽과 재계약	https://search.naver.com/search.naver?where=nexearch&query=%EC%BC%80%EC%9D%B4%EC%9C%8C%20%EC%8A%A4%ED%83%80%EC%89%BD%EA%B3%BC%20%EC%9E%AC%EA%B3%84%EC%95%BD	
01-3	2020-02-13	00:03:27	10	포레스트 박해진 조보아	https://search.naver.com/search.naver?where=nexearch&query=%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EB%B0%95%ED%95%B4%EC%A7%84%20%EC%A1%B0%EB%B3%B4%EC%95%84	
03	2020-02-13	00:03:27	01	와우!…'기생충' 오스카 휩쓸때 할리우드 스타들 표정 모음  / 연합뉴스 (Yonhapnews)	https://www.youtube.com/watch?v=AFb1RqwUa24
03	2020-02-13	00:03:27	02	이번에는 가로로 접히는 삼성의 2번째 폴더블폰 갤럭시 Z 플립 사용기	https://www.youtube.com/watch?v=RDmkL2bTl9M
03	2020-02-13	00:03:27	03	헐리우드 스타들 감동시킨 봉준호 감독의 감동 수상 소감ㅠ [아카데미 작품상 수상 수상]	https://www.youtube.com/watch?v=-92oih-ksMI
03	2020-02-13	00:03:27	04	삼성버전 인덕션? 카메라 성능에 몰빵한 삼성 갤럭시 S20 | S20+ | S20 Ultra 전모델 달라진점 살펴보기!	https://www.youtube.com/watch?v=NLNJ2hKDyaU
03	2020-02-13	00:03:27	05	[투자마인드] 투자를 시작하는 20대에게 추천하는 투자방법 3가지 (ft.자산배분의 기초)	https://www.youtube.com/watch?v=_gsX0d_f9ew
