target	date	time	rank	keyword	urls
02-1	2020-02-20	00:11:54	01	임은경	https://search.daum.net/search?w=tot&q=%EC%9E%84%EC%9D%80%EA%B2%BD	
02-1	2020-02-20	00:11:54	02	청도	https://search.daum.net/search?w=tot&q=%EC%B2%AD%EB%8F%84	
02-1	2020-02-20	00:11:54	03	성냥팔이 소녀의 재림	https://search.daum.net/search?w=tot&q=%EC%84%B1%EB%83%A5%ED%8C%94%EC%9D%B4%20%EC%86%8C%EB%85%80%EC%9D%98%20%EC%9E%AC%EB%A6%BC	
02-1	2020-02-20	00:11:54	04	김보성	https://search.daum.net/search?w=tot&q=%EA%B9%80%EB%B3%B4%EC%84%B1	
02-1	2020-02-20	00:11:54	05	신천지 교회	https://search.daum.net/search?w=tot&q=%EC%8B%A0%EC%B2%9C%EC%A7%80%20%EA%B5%90%ED%9A%8C	
02-1	2020-02-20	00:11:54	06	한상헌	https://search.daum.net/search?w=tot&q=%ED%95%9C%EC%83%81%ED%97%8C	
02-1	2020-02-20	00:11:54	07	김광규	https://search.daum.net/search?w=tot&q=%EA%B9%80%EA%B4%91%EA%B7%9C	
02-1	2020-02-20	00:11:54	08	보아	https://search.daum.net/search?w=tot&q=%EB%B3%B4%EC%95%84	
02-1	2020-02-20	00:11:54	09	박민주 가수	https://search.daum.net/search?w=tot&q=%EB%B0%95%EB%AF%BC%EC%A3%BC%20%EA%B0%80%EC%88%98	
02-1	2020-02-20	00:11:54	10	장수원	https://search.daum.net/search?w=tot&q=%EC%9E%A5%EC%88%98%EC%9B%90	
02-2	2020-02-20	00:11:54	01	청도 코로나	https://search.daum.net/search?w=tot&q=%EC%B2%AD%EB%8F%84%20%EC%BD%94%EB%A1%9C%EB%82%98	
02-2	2020-02-20	00:11:54	02	이명박 구속	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EB%AA%85%EB%B0%95%20%EA%B5%AC%EC%86%8D	
02-2	2020-02-20	00:11:54	03	오세훈	https://search.daum.net/search?w=tot&q=%EC%98%A4%EC%84%B8%ED%9B%88	
02-2	2020-02-20	00:11:54	04	포항의료원	https://search.daum.net/search?w=tot&q=%ED%8F%AC%ED%95%AD%EC%9D%98%EB%A3%8C%EC%9B%90	
02-2	2020-02-20	00:11:54	05	유정복	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%A0%95%EB%B3%B5	
02-2	2020-02-20	00:11:54	06	타다	https://search.daum.net/search?w=tot&q=%ED%83%80%EB%8B%A4	
02-2	2020-02-20	00:11:54	07	31번째 코로나 환자 동선	https://search.daum.net/search?w=tot&q=31%EB%B2%88%EC%A7%B8%20%EC%BD%94%EB%A1%9C%EB%82%98%20%ED%99%98%EC%9E%90%20%EB%8F%99%EC%84%A0	
02-2	2020-02-20	00:11:54	08	김동진	https://search.daum.net/search?w=tot&q=%EA%B9%80%EB%8F%99%EC%A7%84	
02-2	2020-02-20	00:11:54	09	천리안 2B호	https://search.daum.net/search?w=tot&q=%EC%B2%9C%EB%A6%AC%EC%95%88%202B%ED%98%B8	
02-2	2020-02-20	00:11:54	10	고민정	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EB%AF%BC%EC%A0%95	
02-3	2020-02-20	00:11:54	01	마전	https://search.daum.net/search?w=tot&q=%EB%A7%88%EC%A0%84	
02-3	2020-02-20	00:11:54	02	제니퍼 가너	https://search.daum.net/search?w=tot&q=%EC%A0%9C%EB%8B%88%ED%8D%BC%20%EA%B0%80%EB%84%88	
02-3	2020-02-20	00:11:54	03	살림하는 남자들 시즌2	https://search.daum.net/search?w=tot&q=%EC%82%B4%EB%A6%BC%ED%95%98%EB%8A%94%20%EB%82%A8%EC%9E%90%EB%93%A4%20%EC%8B%9C%EC%A6%8C2	
02-3	2020-02-20	00:11:54	04	제나 드완	https://search.daum.net/search?w=tot&q=%EC%A0%9C%EB%82%98%20%EB%93%9C%EC%99%84	
02-3	2020-02-20	00:11:54	05	장도연	https://search.daum.net/search?w=tot&q=%EC%9E%A5%EB%8F%84%EC%97%B0	
02-3	2020-02-20	00:11:54	06	보아 중학교	https://search.daum.net/search?w=tot&q=%EB%B3%B4%EC%95%84%20%EC%A4%91%ED%95%99%EA%B5%90	
02-3	2020-02-20	00:11:54	07	남보라	https://search.daum.net/search?w=tot&q=%EB%82%A8%EB%B3%B4%EB%9D%BC	
02-3	2020-02-20	00:11:54	08	유세윤 문세윤 기생충	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%84%B8%EC%9C%A4%20%EB%AC%B8%EC%84%B8%EC%9C%A4%20%EA%B8%B0%EC%83%9D%EC%B6%A9	
02-3	2020-02-20	00:11:54	09	더 게임 0시를 향하여	https://search.daum.net/search?w=tot&q=%EB%8D%94%20%EA%B2%8C%EC%9E%84%200%EC%8B%9C%EB%A5%BC%20%ED%96%A5%ED%95%98%EC%97%AC	
02-3	2020-02-20	00:11:54	10	대구 슈퍼콘서트	https://search.daum.net/search?w=tot&q=%EB%8C%80%EA%B5%AC%20%EC%8A%88%ED%8D%BC%EC%BD%98%EC%84%9C%ED%8A%B8	
02-4	2020-02-20	00:11:54	01	토트넘 라이프치히	https://search.daum.net/search?w=tot&q=%ED%86%A0%ED%8A%B8%EB%84%98%20%EB%9D%BC%EC%9D%B4%ED%94%84%EC%B9%98%ED%9E%88	
02-4	2020-02-20	00:11:54	02	여자 컬링	https://search.daum.net/search?w=tot&q=%EC%97%AC%EC%9E%90%20%EC%BB%AC%EB%A7%81	
02-4	2020-02-20	00:11:54	03	추일승	https://search.daum.net/search?w=tot&q=%EC%B6%94%EC%9D%BC%EC%8A%B9	
02-4	2020-02-20	00:11:54	04	휴스턴	https://search.daum.net/search?w=tot&q=%ED%9C%B4%EC%8A%A4%ED%84%B4	
02-4	2020-02-20	00:11:54	05	양현종	https://search.daum.net/search?w=tot&q=%EC%96%91%ED%98%84%EC%A2%85	
02-4	2020-02-20	00:11:54	06	손흥민 수술	https://search.daum.net/search?w=tot&q=%EC%86%90%ED%9D%A5%EB%AF%BC%20%EC%88%98%EC%88%A0	
02-4	2020-02-20	00:11:54	07	치어리더	https://search.daum.net/search?w=tot&q=%EC%B9%98%EC%96%B4%EB%A6%AC%EB%8D%94	
02-4	2020-02-20	00:11:54	08	동계체전	https://search.daum.net/search?w=tot&q=%EB%8F%99%EA%B3%84%EC%B2%B4%EC%A0%84	
02-4	2020-02-20	00:11:54	09	라멜라	https://search.daum.net/search?w=tot&q=%EB%9D%BC%EB%A9%9C%EB%9D%BC	
02-4	2020-02-20	00:11:54	10	kb스타즈 우리은행	https://search.daum.net/search?w=tot&q=kb%EC%8A%A4%ED%83%80%EC%A6%88%20%EC%9A%B0%EB%A6%AC%EC%9D%80%ED%96%89	
01-1	2020-02-20	00:11:54	01	임은경	https://search.naver.com/search.naver?where=nexearch&query=%EC%9E%84%EC%9D%80%EA%B2%BD	
01-1	2020-02-20	00:11:54	02	청도	https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%AD%EB%8F%84	
01-1	2020-02-20	00:11:54	03	한상헌 아나운서	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EC%83%81%ED%97%8C%20%EC%95%84%EB%82%98%EC%9A%B4%EC%84%9C	
01-1	2020-02-20	00:11:54	04	한상헌	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EC%83%81%ED%97%8C	
01-1	2020-02-20	00:11:54	05	임은경 나이	https://search.naver.com/search.naver?where=nexearch&query=%EC%9E%84%EC%9D%80%EA%B2%BD%20%EB%82%98%EC%9D%B4	
01-1	2020-02-20	00:11:54	06	첸	https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%B8	
