target	date	time	rank	keyword	urls
02-1	2020-02-16	00:00:45	01	크리스 라이언	https://search.daum.net/search?w=tot&q=%ED%81%AC%EB%A6%AC%EC%8A%A4%20%EB%9D%BC%EC%9D%B4%EC%96%B8	
02-1	2020-02-16	00:00:45	02	박정우	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%A0%95%EC%9A%B0	
02-1	2020-02-16	00:00:45	03	젝스키스	https://search.daum.net/search?w=tot&q=%EC%A0%9D%EC%8A%A4%ED%82%A4%EC%8A%A4	
02-1	2020-02-16	00:00:45	04	신창현	https://search.daum.net/search?w=tot&q=%EC%8B%A0%EC%B0%BD%ED%98%84	
02-1	2020-02-16	00:00:45	05	조현	https://search.daum.net/search?w=tot&q=%EC%A1%B0%ED%98%84	
02-1	2020-02-16	00:00:45	06	898회 로또당첨번호	https://search.daum.net/search?w=tot&q=898%ED%9A%8C%20%EB%A1%9C%EB%98%90%EB%8B%B9%EC%B2%A8%EB%B2%88%ED%98%B8	
02-1	2020-02-16	00:00:45	07	데드리프트	https://search.daum.net/search?w=tot&q=%EB%8D%B0%EB%93%9C%EB%A6%AC%ED%94%84%ED%8A%B8	
02-1	2020-02-16	00:00:45	08	은지원	https://search.daum.net/search?w=tot&q=%EC%9D%80%EC%A7%80%EC%9B%90	
02-1	2020-02-16	00:00:45	09	트래블러	https://search.daum.net/search?w=tot&q=%ED%8A%B8%EB%9E%98%EB%B8%94%EB%9F%AC	
02-1	2020-02-16	00:00:45	10	손희찬	https://search.daum.net/search?w=tot&q=%EC%86%90%ED%9D%AC%EC%B0%AC	
02-2	2020-02-16	00:00:45	01	그것이 알고 싶다	https://search.daum.net/search?w=tot&q=%EA%B7%B8%EA%B2%83%EC%9D%B4%20%EC%95%8C%EA%B3%A0%20%EC%8B%B6%EB%8B%A4	
02-2	2020-02-16	00:00:45	02	김경지	https://search.daum.net/search?w=tot&q=%EA%B9%80%EA%B2%BD%EC%A7%80	
02-2	2020-02-16	00:00:45	03	김영문	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%98%81%EB%AC%B8	
02-2	2020-02-16	00:00:45	04	아산	https://search.daum.net/search?w=tot&q=%EC%95%84%EC%82%B0	
02-2	2020-02-16	00:00:45	05	이상수	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%83%81%EC%88%98	
02-2	2020-02-16	00:00:45	06	일본 코로나	https://search.daum.net/search?w=tot&q=%EC%9D%BC%EB%B3%B8%20%EC%BD%94%EB%A1%9C%EB%82%98	
02-2	2020-02-16	00:00:45	07	경찰 순직	https://search.daum.net/search?w=tot&q=%EA%B2%BD%EC%B0%B0%20%EC%88%9C%EC%A7%81	
02-2	2020-02-16	00:00:45	08	김민전	https://search.daum.net/search?w=tot&q=%EA%B9%80%EB%AF%BC%EC%A0%84	
02-2	2020-02-16	00:00:45	09	폐렴 환자 전수조사 검토	https://search.daum.net/search?w=tot&q=%ED%8F%90%EB%A0%B4%20%ED%99%98%EC%9E%90%20%EC%A0%84%EC%88%98%EC%A1%B0%EC%82%AC%20%EA%B2%80%ED%86%A0	
02-2	2020-02-16	00:00:45	10	코로나 바이러스 확진환자	https://search.daum.net/search?w=tot&q=%EC%BD%94%EB%A1%9C%EB%82%98%20%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%20%ED%99%95%EC%A7%84%ED%99%98%EC%9E%90	
02-3	2020-02-16	00:00:45	01	임현주 아나운서	https://search.daum.net/search?w=tot&q=%EC%9E%84%ED%98%84%EC%A3%BC%20%EC%95%84%EB%82%98%EC%9A%B4%EC%84%9C	
02-3	2020-02-16	00:00:45	02	서지혜	https://search.daum.net/search?w=tot&q=%EC%84%9C%EC%A7%80%ED%98%9C	
02-3	2020-02-16	00:00:45	03	방탄뷔	https://search.daum.net/search?w=tot&q=%EB%B0%A9%ED%83%84%EB%B7%94	
02-3	2020-02-16	00:00:45	04	미나	https://search.daum.net/search?w=tot&q=%EB%AF%B8%EB%82%98	
02-3	2020-02-16	00:00:45	05	류시원	https://search.daum.net/search?w=tot&q=%EB%A5%98%EC%8B%9C%EC%9B%90	
02-3	2020-02-16	00:00:45	06	옹성우	https://search.daum.net/search?w=tot&q=%EC%98%B9%EC%84%B1%EC%9A%B0	
02-3	2020-02-16	00:00:45	07	정글의 법칙	https://search.daum.net/search?w=tot&q=%EC%A0%95%EA%B8%80%EC%9D%98%20%EB%B2%95%EC%B9%99	
02-3	2020-02-16	00:00:45	08	자연스럽게	https://search.daum.net/search?w=tot&q=%EC%9E%90%EC%97%B0%EC%8A%A4%EB%9F%BD%EA%B2%8C	
02-3	2020-02-16	00:00:45	09	블루마린	https://search.daum.net/search?w=tot&q=%EB%B8%94%EB%A3%A8%EB%A7%88%EB%A6%B0	
02-3	2020-02-16	00:00:45	10	도경완	https://search.daum.net/search?w=tot&q=%EB%8F%84%EA%B2%BD%EC%99%84	
02-4	2020-02-16	00:00:45	01	맨시티 챔스	https://search.daum.net/search?w=tot&q=%EB%A7%A8%EC%8B%9C%ED%8B%B0%20%EC%B1%94%EC%8A%A4	
02-4	2020-02-16	00:00:45	02	이영택	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%98%81%ED%83%9D	
02-4	2020-02-16	00:00:45	03	고예림	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EC%98%88%EB%A6%BC	
02-4	2020-02-16	00:00:45	04	머슬마니아	https://search.daum.net/search?w=tot&q=%EB%A8%B8%EC%8A%AC%EB%A7%88%EB%8B%88%EC%95%84	
02-4	2020-02-16	00:00:45	05	인삼공사	https://search.daum.net/search?w=tot&q=%EC%9D%B8%EC%82%BC%EA%B3%B5%EC%82%AC	
02-4	2020-02-16	00:00:45	06	케빈 더 브라위너	https://search.daum.net/search?w=tot&q=%EC%BC%80%EB%B9%88%20%EB%8D%94%20%EB%B8%8C%EB%9D%BC%EC%9C%84%EB%84%88	
02-4	2020-02-16	00:00:45	07	윤성빈	https://search.daum.net/search?w=tot&q=%EC%9C%A4%EC%84%B1%EB%B9%88	
02-4	2020-02-16	00:00:45	08	이정후	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%A0%95%ED%9B%84	
02-4	2020-02-16	00:00:45	09	박인비	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%9D%B8%EB%B9%84	
02-4	2020-02-16	00:00:45	10	lpga	https://search.daum.net/search?w=tot&q=lpga	
01-1	2020-02-16	00:00:45	01	사랑의 불시착 16회 예고	https://search.naver.com/search.naver?where=nexearch&query=%EC%82%AC%EB%9E%91%EC%9D%98%20%EB%B6%88%EC%8B%9C%EC%B0%A9%2016%ED%9A%8C%20%EC%98%88%EA%B3%A0	
01-1	2020-02-16	00:00:45	02	젝스키스	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9D%EC%8A%A4%ED%82%A4%EC%8A%A4	
01-1	2020-02-16	00:00:45	03	젝스키스 강성훈	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%9D%EC%8A%A4%ED%82%A4%EC%8A%A4%20%EA%B0%95%EC%84%B1%ED%9B%88	
01-1	2020-02-16	00:00:45	04	디펜스	https://search.naver.com/search.naver?where=nexearch&query=%EB%94%94%ED%8E%9C%EC%8A%A4	
01-1	2020-02-16	00:00:45	05	서은수	https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9D%80%EC%88%98	
01-1	2020-02-16	00:00:45	06	박정우	https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%95%EC%A0%95%EC%9A%B0	
01-1	2020-02-16	00:00:45	07	씨름 체급	https://search.naver.com/search.naver?where=nexearch&query=%EC%94%A8%EB%A6%84%20%EC%B2%B4%EA%B8%89	
01-1	2020-02-16	00:00:45	08	딥블루씨	https://search.naver.com/search.naver?where=nexearch&query=%EB%94%A5%EB%B8%94%EB%A3%A8%EC%94%A8	
01-1	2020-02-16	00:00:45	09	맨시티	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%A8%EC%8B%9C%ED%8B%B0	
01-1	2020-02-16	00:00:45	10	포레스트검프	https://search.naver.com/search.naver?where=nexearch&query=%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%EA%B2%80%ED%94%84	
01-1	2020-02-16	00:00:45	11	홍인	https://search.naver.com/search.naver?where=nexearch&query=%ED%99%8D%EC%9D%B8	
01-1	2020-02-16	00:00:45	12	하도권	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%98%EB%8F%84%EA%B6%8C	
01-1	2020-02-16	00:00:45	13	프로포폴 연예인	https://search.naver.com/search.naver?where=nexearch&query=%ED%94%84%EB%A1%9C%ED%8F%AC%ED%8F%B4%20%EC%97%B0%EC%98%88%EC%9D%B8	
01-1	2020-02-16	00:00:45	14	오수진 변호사	https://search.naver.com/search.naver?where=nexearch&query=%EC%98%A4%EC%88%98%EC%A7%84%20%EB%B3%80%ED%98%B8%EC%82%AC	
01-1	2020-02-16	00:00:45	15	구승준	https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AC%EC%8A%B9%EC%A4%80	
01-1	2020-02-16	00:00:45	16	왔다 장보리	https://search.naver.com/search.naver?where=nexearch&query=%EC%99%94%EB%8B%A4%20%EC%9E%A5%EB%B3%B4%EB%A6%AC	
01-1	2020-02-16	00:00:45	17	김바다	https://search.naver.com/search.naver?where=nexearch&query=%EA%B9%80%EB%B0%94%EB%8B%A4	
01-1	2020-02-16	00:00:45	18	임현주 아나운서	https://search.naver.com/search.naver?where=nexearch&query=%EC%9E%84%ED%98%84%EC%A3%BC%20%EC%95%84%EB%82%98%EC%9A%B4%EC%84%9C	
01-1	2020-02-16	00:00:45	19	트래블러	https://search.naver.com/search.naver?where=nexearch&query=%ED%8A%B8%EB%9E%98%EB%B8%94%EB%9F%AC	
01-1	2020-02-16	00:00:45	20	이태원 클라쓰 이주영	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%ED%83%9C%EC%9B%90%20%ED%81%B4%EB%9D%BC%EC%93%B0%20%EC%9D%B4%EC%A3%BC%EC%98%81	
01-2	2020-02-16	00:00:45	01	황교안 김성태 불출마	https://search.naver.com/search.naver?where=nexearch&query=%ED%99%A9%EA%B5%90%EC%95%88%20%EA%B9%80%EC%84%B1%ED%83%9C%20%EB%B6%88%EC%B6%9C%EB%A7%88	
