target	date	time	rank	keyword	urls
02-1	2020-02-09	16:08:54	01	박희영	https://search.daum.net/search?w=tot&q=%EB%B0%95%ED%9D%AC%EC%98%81	
02-1	2020-02-09	16:08:54	02	차준환	https://search.daum.net/search?w=tot&q=%EC%B0%A8%EC%A4%80%ED%99%98	
02-1	2020-02-09	16:08:54	03	존존스	https://search.daum.net/search?w=tot&q=%EC%A1%B4%EC%A1%B4%EC%8A%A4	
02-1	2020-02-09	16:08:54	04	유소연	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%86%8C%EC%97%B0	
02-1	2020-02-09	16:08:54	05	ufc	https://search.daum.net/search?w=tot&q=ufc	
02-1	2020-02-09	16:08:54	06	유승민	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%8A%B9%EB%AF%BC	
02-1	2020-02-09	16:08:54	07	조아연	https://search.daum.net/search?w=tot&q=%EC%A1%B0%EC%95%84%EC%97%B0	
02-1	2020-02-09	16:08:54	08	25번째 코로나 환자	https://search.daum.net/search?w=tot&q=25%EB%B2%88%EC%A7%B8%20%EC%BD%94%EB%A1%9C%EB%82%98%20%ED%99%98%EC%9E%90	
02-1	2020-02-09	16:08:54	09	최혜진	https://search.daum.net/search?w=tot&q=%EC%B5%9C%ED%98%9C%EC%A7%84	
02-1	2020-02-09	16:08:54	10	복면가왕 떡국	https://search.daum.net/search?w=tot&q=%EB%B3%B5%EB%A9%B4%EA%B0%80%EC%99%95%20%EB%96%A1%EA%B5%AD	
02-2	2020-02-09	16:08:54	01	국민당	https://search.daum.net/search?w=tot&q=%EA%B5%AD%EB%AF%BC%EB%8B%B9	
02-2	2020-02-09	16:08:54	02	시흥시 매화동	https://search.daum.net/search?w=tot&q=%EC%8B%9C%ED%9D%A5%EC%8B%9C%20%EB%A7%A4%ED%99%94%EB%8F%99	
02-2	2020-02-09	16:08:54	03	유승민불출마	https://search.daum.net/search?w=tot&q=%EC%9C%A0%EC%8A%B9%EB%AF%BC%EB%B6%88%EC%B6%9C%EB%A7%88	
02-2	2020-02-09	16:08:54	04	문재인아산	https://search.daum.net/search?w=tot&q=%EB%AC%B8%EC%9E%AC%EC%9D%B8%EC%95%84%EC%82%B0	
02-2	2020-02-09	16:08:54	05	진중권 강연	https://search.daum.net/search?w=tot&q=%EC%A7%84%EC%A4%91%EA%B6%8C%20%EA%B0%95%EC%97%B0	
02-2	2020-02-09	16:08:54	06	강릉 눈	https://search.daum.net/search?w=tot&q=%EA%B0%95%EB%A6%89%20%EB%88%88	
02-2	2020-02-09	16:08:54	07	그것이 알고 싶다	https://search.daum.net/search?w=tot&q=%EA%B7%B8%EA%B2%83%EC%9D%B4%20%EC%95%8C%EA%B3%A0%20%EC%8B%B6%EB%8B%A4	
02-2	2020-02-09	16:08:54	08	김주영	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%A3%BC%EC%98%81	
02-2	2020-02-09	16:08:54	09	정봉주	https://search.daum.net/search?w=tot&q=%EC%A0%95%EB%B4%89%EC%A3%BC	
02-2	2020-02-09	16:08:54	10	제주교육청	https://search.daum.net/search?w=tot&q=%EC%A0%9C%EC%A3%BC%EA%B5%90%EC%9C%A1%EC%B2%AD	
