target	date	time	rank	keyword	urls
01-1	2020-02-22	23:55:59	01	조명섭	https://search.naver.com/search.naver?where=nexearch&query=%EC%A1%B0%EB%AA%85%EC%84%AD	
01-1	2020-02-22	23:55:59	02	더블캐스팅	https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%EB%B8%94%EC%BA%90%EC%8A%A4%ED%8C%85	
01-1	2020-02-22	23:55:59	03	토트넘 첼시	https://search.naver.com/search.naver?where=nexearch&query=%ED%86%A0%ED%8A%B8%EB%84%98%20%EC%B2%BC%EC%8B%9C	
01-1	2020-02-22	23:55:59	04	코로나19 국내현황	https://search.naver.com/search.naver?where=nexearch&query=%EC%BD%94%EB%A1%9C%EB%82%9819%20%EA%B5%AD%EB%82%B4%ED%98%84%ED%99%A9	
01-1	2020-02-22	23:55:59	05	임태혁	https://search.naver.com/search.naver?where=nexearch&query=%EC%9E%84%ED%83%9C%ED%98%81	
01-1	2020-02-22	23:55:59	06	미스터트롯 조명섭	https://search.naver.com/search.naver?where=nexearch&query=%EB%AF%B8%EC%8A%A4%ED%84%B0%ED%8A%B8%EB%A1%AF%20%EC%A1%B0%EB%AA%85%EC%84%AD	
01-1	2020-02-22	23:55:59	07	한지상	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EC%A7%80%EC%83%81	
01-1	2020-02-22	23:55:59	08	영화 배심원들	https://search.naver.com/search.naver?where=nexearch&query=%EC%98%81%ED%99%94%20%EB%B0%B0%EC%8B%AC%EC%9B%90%EB%93%A4	
01-1	2020-02-22	23:55:59	09	마이클리	https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EC%9D%B4%ED%81%B4%EB%A6%AC	
01-1	2020-02-22	23:55:59	10	이지나	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EC%A7%80%EB%82%98	
01-1	2020-02-22	23:55:59	11	이이경	https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B4%EC%9D%B4%EA%B2%BD	
01-1	2020-02-22	23:55:59	12	차지연	https://search.naver.com/search.naver?where=nexearch&query=%EC%B0%A8%EC%A7%80%EC%97%B0	
01-1	2020-02-22	23:55:59	13	하이바이마마	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%98%EC%9D%B4%EB%B0%94%EC%9D%B4%EB%A7%88%EB%A7%88	
01-1	2020-02-22	23:55:59	14	하이바이, 마마!	https://search.naver.com/search.naver?where=nexearch&query=%ED%95%98%EC%9D%B4%EB%B0%94%EC%9D%B4%2C%20%EB%A7%88%EB%A7%88%21	
01-1	2020-02-22	23:55:59	15	광주 영풍문고	https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EC%A3%BC%20%EC%98%81%ED%92%8D%EB%AC%B8%EA%B3%A0	
