target	date	time	rank	keyword	urls
02-1	2020-02-15	18:03:35	01	장도연	https://search.daum.net/search?w=tot&q=%EC%9E%A5%EB%8F%84%EC%97%B0	
02-1	2020-02-15	18:03:35	02	일본 코로나	https://search.daum.net/search?w=tot&q=%EC%9D%BC%EB%B3%B8%20%EC%BD%94%EB%A1%9C%EB%82%98	
02-1	2020-02-15	18:03:35	03	류시원	https://search.daum.net/search?w=tot&q=%EB%A5%98%EC%8B%9C%EC%9B%90	
02-1	2020-02-15	18:03:35	04	한송이	https://search.daum.net/search?w=tot&q=%ED%95%9C%EC%86%A1%EC%9D%B4	
02-1	2020-02-15	18:03:35	05	손담비	https://search.daum.net/search?w=tot&q=%EC%86%90%EB%8B%B4%EB%B9%84	
02-1	2020-02-15	18:03:35	06	김성태	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%84%B1%ED%83%9C	
02-1	2020-02-15	18:03:35	07	고민지	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EB%AF%BC%EC%A7%80	
02-1	2020-02-15	18:03:35	08	불후의 명곡	https://search.daum.net/search?w=tot&q=%EB%B6%88%ED%9B%84%EC%9D%98%20%EB%AA%85%EA%B3%A1	
02-1	2020-02-15	18:03:35	09	박인비	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%9D%B8%EB%B9%84	
02-1	2020-02-15	18:03:35	10	박나래	https://search.daum.net/search?w=tot&q=%EB%B0%95%EB%82%98%EB%9E%98	
02-2	2020-02-15	18:03:35	01	고창 화재	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EC%B0%BD%20%ED%99%94%EC%9E%AC	
02-2	2020-02-15	18:03:35	02	사유재산 징발령	https://search.daum.net/search?w=tot&q=%EC%82%AC%EC%9C%A0%EC%9E%AC%EC%82%B0%20%EC%A7%95%EB%B0%9C%EB%A0%B9	
02-2	2020-02-15	18:03:35	03	한파	https://search.daum.net/search?w=tot&q=%ED%95%9C%ED%8C%8C	
02-2	2020-02-15	18:03:35	04	싱가포르 코로나바이러스	https://search.daum.net/search?w=tot&q=%EC%8B%B1%EA%B0%80%ED%8F%AC%EB%A5%B4%20%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4	
02-2	2020-02-15	18:03:35	05	진천 교민	https://search.daum.net/search?w=tot&q=%EC%A7%84%EC%B2%9C%20%EA%B5%90%EB%AF%BC	
02-2	2020-02-15	18:03:35	06	국무총리	https://search.daum.net/search?w=tot&q=%EA%B5%AD%EB%AC%B4%EC%B4%9D%EB%A6%AC	
02-2	2020-02-15	18:03:35	07	시리아	https://search.daum.net/search?w=tot&q=%EC%8B%9C%EB%A6%AC%EC%95%84	
02-2	2020-02-15	18:03:35	08	동부제철 화재	https://search.daum.net/search?w=tot&q=%EB%8F%99%EB%B6%80%EC%A0%9C%EC%B2%A0%20%ED%99%94%EC%9E%AC	
02-2	2020-02-15	18:03:35	09	강경화	https://search.daum.net/search?w=tot&q=%EA%B0%95%EA%B2%BD%ED%99%94	
02-2	2020-02-15	18:03:35	10	유학생	https://search.daum.net/search?w=tot&q=%EC%9C%A0%ED%95%99%EC%83%9D	
02-3	2020-02-15	18:03:35	01	더 크로스	https://search.daum.net/search?w=tot&q=%EB%8D%94%20%ED%81%AC%EB%A1%9C%EC%8A%A4	
02-3	2020-02-15	18:03:35	02	이주영	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%A3%BC%EC%98%81	
02-3	2020-02-15	18:03:35	03	조엘라	https://search.daum.net/search?w=tot&q=%EC%A1%B0%EC%97%98%EB%9D%BC	
02-3	2020-02-15	18:03:35	04	꼬꼬밥	https://search.daum.net/search?w=tot&q=%EA%BC%AC%EA%BC%AC%EB%B0%A5	
