target	date	time	rank	keyword	urls
02-1	2020-02-10	18:10:01	01	마틴 스콜세지	https://search.daum.net/search?w=tot&q=%EB%A7%88%ED%8B%B4%20%EC%8A%A4%EC%BD%9C%EC%84%B8%EC%A7%80	
02-1	2020-02-10	18:10:01	02	기생충	https://search.daum.net/search?w=tot&q=%EA%B8%B0%EC%83%9D%EC%B6%A9	
02-1	2020-02-10	18:10:01	03	이미경	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EB%AF%B8%EA%B2%BD	
02-1	2020-02-10	18:10:01	04	조여정	https://search.daum.net/search?w=tot&q=%EC%A1%B0%EC%97%AC%EC%A0%95	
02-1	2020-02-10	18:10:01	05	고유정	https://search.daum.net/search?w=tot&q=%EA%B3%A0%EC%9C%A0%EC%A0%95	
02-1	2020-02-10	18:10:01	06	송강호	https://search.daum.net/search?w=tot&q=%EC%86%A1%EA%B0%95%ED%98%B8	
02-1	2020-02-10	18:10:01	07	박소담	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%86%8C%EB%8B%B4	
02-1	2020-02-10	18:10:01	08	최우식	https://search.daum.net/search?w=tot&q=%EC%B5%9C%EC%9A%B0%EC%8B%9D	
02-1	2020-02-10	18:10:01	09	산드라 오	https://search.daum.net/search?w=tot&q=%EC%82%B0%EB%93%9C%EB%9D%BC%20%EC%98%A4	
02-1	2020-02-10	18:10:01	10	곽신애	https://search.daum.net/search?w=tot&q=%EA%B3%BD%EC%8B%A0%EC%95%A0	
02-2	2020-02-10	18:10:01	01	공영홈쇼핑	https://search.daum.net/search?w=tot&q=%EA%B3%B5%EC%98%81%ED%99%88%EC%87%BC%ED%95%91	
02-2	2020-02-10	18:10:01	02	정세균 국무총리	https://search.daum.net/search?w=tot&q=%EC%A0%95%EC%84%B8%EA%B7%A0%20%EA%B5%AD%EB%AC%B4%EC%B4%9D%EB%A6%AC	
02-2	2020-02-10	18:10:01	03	김태우	https://search.daum.net/search?w=tot&q=%EA%B9%80%ED%83%9C%EC%9A%B0	
02-2	2020-02-10	18:10:01	04	타다	https://search.daum.net/search?w=tot&q=%ED%83%80%EB%8B%A4	
02-2	2020-02-10	18:10:01	05	황교안 라면국물	https://search.daum.net/search?w=tot&q=%ED%99%A9%EA%B5%90%EC%95%88%20%EB%9D%BC%EB%A9%B4%EA%B5%AD%EB%AC%BC	
02-2	2020-02-10	18:10:01	06	이천 국방어학원	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%B2%9C%20%EA%B5%AD%EB%B0%A9%EC%96%B4%ED%95%99%EC%9B%90	
02-2	2020-02-10	18:10:01	07	미세먼지 저감조치	https://search.daum.net/search?w=tot&q=%EB%AF%B8%EC%84%B8%EB%A8%BC%EC%A7%80%20%EC%A0%80%EA%B0%90%EC%A1%B0%EC%B9%98	
02-2	2020-02-10	18:10:01	08	박형철	https://search.daum.net/search?w=tot&q=%EB%B0%95%ED%98%95%EC%B2%A0	
02-2	2020-02-10	18:10:01	09	아프리카 돼지 열병	https://search.daum.net/search?w=tot&q=%EC%95%84%ED%94%84%EB%A6%AC%EC%B9%B4%20%EB%8F%BC%EC%A7%80%20%EC%97%B4%EB%B3%91	
