target	date	time	rank	keyword	urls
01-1	2020-02-21	00:00:07	01	광주 코로나	https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EC%A3%BC%20%EC%BD%94%EB%A1%9C%EB%82%98	
01-1	2020-02-21	00:00:07	02	신인선	https://search.naver.com/search.naver?where=nexearch&query=%EC%8B%A0%EC%9D%B8%EC%84%A0	
01-1	2020-02-21	00:00:07	03	어느 60대 노부부 이야기	https://search.naver.com/search.naver?where=nexearch&query=%EC%96%B4%EB%8A%90%2060%EB%8C%80%20%EB%85%B8%EB%B6%80%EB%B6%80%20%EC%9D%B4%EC%95%BC%EA%B8%B0	
01-1	2020-02-21	00:00:07	04	노지훈	https://search.naver.com/search.naver?where=nexearch&query=%EB%85%B8%EC%A7%80%ED%9B%88	
01-1	2020-02-21	00:00:07	05	부평 코로나	https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%ED%8F%89%20%EC%BD%94%EB%A1%9C%EB%82%98	
01-1	2020-02-21	00:00:07	06	레알 베티스	https://search.naver.com/search.naver?where=nexearch&query=%EB%A0%88%EC%95%8C%20%EB%B2%A0%ED%8B%B0%EC%8A%A4	
01-1	2020-02-21	00:00:07	07	김수찬	https://search.naver.com/search.naver?where=nexearch&query=%EA%B9%80%EC%88%98%EC%B0%AC	
01-1	2020-02-21	00:00:07	08	미스터트롯 노지훈	https://search.naver.com/search.naver?where=nexearch&query=%EB%AF%B8%EC%8A%A4%ED%84%B0%ED%8A%B8%EB%A1%AF%20%EB%85%B8%EC%A7%80%ED%9B%88	
01-1	2020-02-21	00:00:07	09	노지훈 이은혜	https://search.naver.com/search.naver?where=nexearch&query=%EB%85%B8%EC%A7%80%ED%9B%88%20%EC%9D%B4%EC%9D%80%ED%98%9C	
01-1	2020-02-21	00:00:07	10	전주 코로나	https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%84%EC%A3%BC%20%EC%BD%94%EB%A1%9C%EB%82%98	
01-1	2020-02-21	00:00:07	11	국방부	https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EB%B0%A9%EB%B6%80	
01-1	2020-02-21	00:00:07	12	나팔바지	https://search.naver.com/search.naver?where=nexearch&query=%EB%82%98%ED%8C%94%EB%B0%94%EC%A7%80	
