target	date	time	rank	title	contents	urls
04	2020-02-03	00:00:08	01	"결국 돈 있는 놈이 이겨"..입구 막고 나가라는 건물주	[앵커] 당초 5년 동안 점포를 빌리기로 계약했는데, 건물주가 일방적으로 계약 기간을 줄이고 나가라며, 이른바 갑질을 하는 일이  벌어졌습니다. 임차인이  이같은..	http://v.media.daum.net/v/20200202215149303
04	2020-02-03	00:00:08	02	인천발 중국행 항공기에 신종코로나 의심환자..승객 40명 격리	(베이징=연합뉴스) 김윤구 특파원 = 2일 오전 인천공항에서 출발해 중국 광둥(廣東)성 선전 공항에 도착한 대한항공 KE827 항공편에서 신종코로나 의심 환자가 ..	http://v.media.daum.net/v/20200202203137574
04	2020-02-03	00:00:08	03	'입국금지' 꺼리다..중국인 추가 확진에 분위기 급변	[앵커] 정부가 이런 결정을 내놓은 배경을 청와대 취재기자와 함께 한 걸음 더 들어가보겠습니다. 이서준 기자가 나와있습니다. 일주일전만 해도 "입국 금지 안한다"..	http://v.media.daum.net/v/20200202202017430
04	2020-02-03	00:00:08	04	"중국인 부부 격리치료 중..4번환자 사망설? 상태 호전"	[앵커] 중국인 부부인 12번째 환자와 14번째 환자가 격리돼 있는 분당서울대병원으로 가보겠습니다. 배양진 기자, 그곳엔 4번째 환자도 입원해 있는데 이 환자들 ..	http://v.media.daum.net/v/20200202204813794
04	2020-02-03	00:00:08	05	봉쇄당한 후베이인 호소 "백혈병 딸이라도 통과시켜 달라"	(홍콩=연합뉴스) 안승섭 특파원 = 신종 코로나바이러스 감염증(신종코로나)이 중국 전역에서 급속히 확산하는 가운데 발병 근원지인 후베이(湖北)성 여성의 사연이 중..	http://v.media.daum.net/v/20200202220256402
04	2020-02-03	00:00:08	06	중, 우한에 병상 1천개짜리 임시병원..열흘 만에 완공	[앵커] 이렇게 입국 금지 대상이 된 후베이성은 밀려드는 환자들을 치료하기 위해 임시병원을 짓고 있습니다. 바이러스 진원지인 우한에는 열흘 만에 병상 천 개짜리 ..	http://v.media.daum.net/v/20200202202414486
04	2020-02-03	00:00:08	07	세계 각국 중국 봉쇄에도 동남아는 조용..왜?	(서울=뉴스1) 한상희 기자 = 신종 코로나바이러스 확산을 막기 위해 전 세계 60여개국이 중국인 입국 금지와 중국 항공편 운항 금지 등 강력한 대응에 나섰다. ..	http://v.media.daum.net/v/20200202224930780
04	2020-02-03	00:00:08	08	[단독] "암수술 잘 됐다더니"..뱃속에서 나온 '수술용 바늘'	[앵커] 서울의 한 대형병원에서 암 수술을 받은 80대 남성의 뱃속에서 수술할 때 사용하는 바늘이  뒤늦게 발견됐습니다. 수술 뒤 계속되는 복통에 병원을 방문해 ..	http://v.media.daum.net/v/20200202215015290
04	2020-02-03	00:00:08	09	'아빠본색' 소유진 "백종원, 4년간 친정 부모님께 매주 식사 대접" [Oh!쎈 리뷰]	[OSEN=심언경 기자] '아빠본색' 소유진이 남편 백종원에 대한 고마운 마음을 드러냈다. 2일 방송된 채널A 예능 프로그램 '아빠본색'에서는 지난 방송에 이어 ..	http://v.media.daum.net/v/20200202215154306
04	2020-02-03	00:00:08	10	숙명여대 최초 트랜스젠더 합격생 "마음 너덜너덜해졌다"	“하루 종일 너무 무서웠어요. 온갖 욕을 다 먹더니 마음이 너덜너덜해진 기분이에요.” 수화기 너머에서 ㄱ(22)씨의 목소리가 떨렸다. ㄱ씨는 지난해 8월 태국에서..	http://v.media.daum.net/v/20200202175612178
