target	date	time	rank	keyword	urls
02-1	2020-02-18	00:03:30	01	이상아	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%83%81%EC%95%84	
02-1	2020-02-18	00:03:30	02	안녕 드라큘라	https://search.daum.net/search?w=tot&q=%EC%95%88%EB%85%95%20%EB%93%9C%EB%9D%BC%ED%81%98%EB%9D%BC	
02-1	2020-02-18	00:03:30	03	나경원	https://search.daum.net/search?w=tot&q=%EB%82%98%EA%B2%BD%EC%9B%90	
02-1	2020-02-18	00:03:30	04	윤석열	https://search.daum.net/search?w=tot&q=%EC%9C%A4%EC%84%9D%EC%97%B4	
02-1	2020-02-18	00:03:30	05	태사자	https://search.daum.net/search?w=tot&q=%ED%83%9C%EC%82%AC%EC%9E%90	
02-1	2020-02-18	00:03:30	06	이선정	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%84%A0%EC%A0%95	
02-1	2020-02-18	00:03:30	07	박준석	https://search.daum.net/search?w=tot&q=%EB%B0%95%EC%A4%80%EC%84%9D	
02-1	2020-02-18	00:03:30	08	공군 3호기	https://search.daum.net/search?w=tot&q=%EA%B3%B5%EA%B5%B0%203%ED%98%B8%EA%B8%B0	
02-1	2020-02-18	00:03:30	09	아가페	https://search.daum.net/search?w=tot&q=%EC%95%84%EA%B0%80%ED%8E%98	
02-1	2020-02-18	00:03:30	10	김상희	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%83%81%ED%9D%AC	
02-2	2020-02-18	00:03:30	01	이인제	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%9D%B8%EC%A0%9C	
02-2	2020-02-18	00:03:30	02	순천완주고속도로 사고	https://search.daum.net/search?w=tot&q=%EC%88%9C%EC%B2%9C%EC%99%84%EC%A3%BC%EA%B3%A0%EC%86%8D%EB%8F%84%EB%A1%9C%20%EC%82%AC%EA%B3%A0	
02-2	2020-02-18	00:03:30	03	민주노총 대의원대회	https://search.daum.net/search?w=tot&q=%EB%AF%BC%EC%A3%BC%EB%85%B8%EC%B4%9D%20%EB%8C%80%EC%9D%98%EC%9B%90%EB%8C%80%ED%9A%8C	
02-2	2020-02-18	00:03:30	04	부산의료원	https://search.daum.net/search?w=tot&q=%EB%B6%80%EC%82%B0%EC%9D%98%EB%A3%8C%EC%9B%90	
02-2	2020-02-18	00:03:30	05	금호고속	https://search.daum.net/search?w=tot&q=%EA%B8%88%ED%98%B8%EA%B3%A0%EC%86%8D	
02-2	2020-02-18	00:03:30	06	나경원 스트레이트	https://search.daum.net/search?w=tot&q=%EB%82%98%EA%B2%BD%EC%9B%90%20%EC%8A%A4%ED%8A%B8%EB%A0%88%EC%9D%B4%ED%8A%B8	
02-2	2020-02-18	00:03:30	07	영종도 위내시경 사망	https://search.daum.net/search?w=tot&q=%EC%98%81%EC%A2%85%EB%8F%84%20%EC%9C%84%EB%82%B4%EC%8B%9C%EA%B2%BD%20%EC%82%AC%EB%A7%9D	
02-2	2020-02-18	00:03:30	08	홍정민	https://search.daum.net/search?w=tot&q=%ED%99%8D%EC%A0%95%EB%AF%BC	
02-2	2020-02-18	00:03:30	09	저비용 항공사	https://search.daum.net/search?w=tot&q=%EC%A0%80%EB%B9%84%EC%9A%A9%20%ED%95%AD%EA%B3%B5%EC%82%AC	
02-2	2020-02-18	00:03:30	10	봄약국	https://search.daum.net/search?w=tot&q=%EB%B4%84%EC%95%BD%EA%B5%AD	
02-3	2020-02-18	00:03:30	01	카피추	https://search.daum.net/search?w=tot&q=%EC%B9%B4%ED%94%BC%EC%B6%94	
02-3	2020-02-18	00:03:30	02	김민재	https://search.daum.net/search?w=tot&q=%EA%B9%80%EB%AF%BC%EC%9E%AC	
02-3	2020-02-18	00:03:30	03	가요무대 출연진	https://search.daum.net/search?w=tot&q=%EA%B0%80%EC%9A%94%EB%AC%B4%EB%8C%80%20%EC%B6%9C%EC%97%B0%EC%A7%84	
02-3	2020-02-18	00:03:30	04	방탄소년단	https://search.daum.net/search?w=tot&q=%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8	
02-3	2020-02-18	00:03:30	05	아이 콘택트	https://search.daum.net/search?w=tot&q=%EC%95%84%EC%9D%B4%20%EC%BD%98%ED%83%9D%ED%8A%B8	
02-3	2020-02-18	00:03:30	06	배철수 잼	https://search.daum.net/search?w=tot&q=%EB%B0%B0%EC%B2%A0%EC%88%98%20%EC%9E%BC	
02-3	2020-02-18	00:03:30	07	낭만닥터 김사부 2	https://search.daum.net/search?w=tot&q=%EB%82%AD%EB%A7%8C%EB%8B%A5%ED%84%B0%20%EA%B9%80%EC%82%AC%EB%B6%80%202	
02-3	2020-02-18	00:03:30	08	추대엽	https://search.daum.net/search?w=tot&q=%EC%B6%94%EB%8C%80%EC%97%BD	
02-3	2020-02-18	00:03:30	09	양준일 배철수 잼	https://search.daum.net/search?w=tot&q=%EC%96%91%EC%A4%80%EC%9D%BC%20%EB%B0%B0%EC%B2%A0%EC%88%98%20%EC%9E%BC	
02-3	2020-02-18	00:03:30	10	민사라 칸나	https://search.daum.net/search?w=tot&q=%EB%AF%BC%EC%82%AC%EB%9D%BC%20%EC%B9%B8%EB%82%98	
02-4	2020-02-18	00:03:30	01	이승준	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EC%8A%B9%EC%A4%80	
02-4	2020-02-18	00:03:30	02	해리 케인	https://search.daum.net/search?w=tot&q=%ED%95%B4%EB%A6%AC%20%EC%BC%80%EC%9D%B8	
02-4	2020-02-18	00:03:30	03	우리은행	https://search.daum.net/search?w=tot&q=%EC%9A%B0%EB%A6%AC%EC%9D%80%ED%96%89	
02-4	2020-02-18	00:03:30	04	epl 50골 아시아 선수	https://search.daum.net/search?w=tot&q=epl%2050%EA%B3%A8%20%EC%95%84%EC%8B%9C%EC%95%84%20%EC%84%A0%EC%88%98	
02-4	2020-02-18	00:03:30	05	김보름	https://search.daum.net/search?w=tot&q=%EA%B9%80%EB%B3%B4%EB%A6%84	
02-4	2020-02-18	00:03:30	06	무리뉴 감독	https://search.daum.net/search?w=tot&q=%EB%AC%B4%EB%A6%AC%EB%89%B4%20%EA%B0%90%EB%8F%85	
02-4	2020-02-18	00:03:30	07	강성훈 프로	https://search.daum.net/search?w=tot&q=%EA%B0%95%EC%84%B1%ED%9B%88%20%ED%94%84%EB%A1%9C	
02-4	2020-02-18	00:03:30	08	우레이	https://search.daum.net/search?w=tot&q=%EC%9A%B0%EB%A0%88%EC%9D%B4	
02-4	2020-02-18	00:03:30	09	pga	https://search.daum.net/search?w=tot&q=pga	
