target	date	time	rank	keyword	urls
02-1	2020-02-17	00:00:45	01	조명섭	https://search.daum.net/search?w=tot&q=%EC%A1%B0%EB%AA%85%EC%84%AD	
02-1	2020-02-17	00:00:45	02	한석준	https://search.daum.net/search?w=tot&q=%ED%95%9C%EC%84%9D%EC%A4%80	
02-1	2020-02-17	00:00:45	03	에델바이스	https://search.daum.net/search?w=tot&q=%EC%97%90%EB%8D%B8%EB%B0%94%EC%9D%B4%EC%8A%A4	
02-1	2020-02-17	00:00:45	04	손예진	https://search.daum.net/search?w=tot&q=%EC%86%90%EC%98%88%EC%A7%84	
02-1	2020-02-17	00:00:45	05	김종국	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%A2%85%EA%B5%AD	
02-1	2020-02-17	00:00:45	06	구승준	https://search.daum.net/search?w=tot&q=%EA%B5%AC%EC%8A%B9%EC%A4%80	
02-1	2020-02-17	00:00:45	07	전국노래자랑	https://search.daum.net/search?w=tot&q=%EC%A0%84%EA%B5%AD%EB%85%B8%EB%9E%98%EC%9E%90%EB%9E%91	
02-1	2020-02-17	00:00:45	08	서지혜	https://search.daum.net/search?w=tot&q=%EC%84%9C%EC%A7%80%ED%98%9C	
02-1	2020-02-17	00:00:45	09	채계산 출렁다리	https://search.daum.net/search?w=tot&q=%EC%B1%84%EA%B3%84%EC%82%B0%20%EC%B6%9C%EB%A0%81%EB%8B%A4%EB%A6%AC	
02-1	2020-02-17	00:00:45	10	토트넘	https://search.daum.net/search?w=tot&q=%ED%86%A0%ED%8A%B8%EB%84%98	
02-2	2020-02-17	00:00:45	01	매지터널 사고	https://search.daum.net/search?w=tot&q=%EB%A7%A4%EC%A7%80%ED%84%B0%EB%84%90%20%EC%82%AC%EA%B3%A0	
02-2	2020-02-17	00:00:45	02	대설주의보	https://search.daum.net/search?w=tot&q=%EB%8C%80%EC%84%A4%EC%A3%BC%EC%9D%98%EB%B3%B4	
02-2	2020-02-17	00:00:45	03	홍세화	https://search.daum.net/search?w=tot&q=%ED%99%8D%EC%84%B8%ED%99%94	
02-2	2020-02-17	00:00:45	04	에어로 케이	https://search.daum.net/search?w=tot&q=%EC%97%90%EC%96%B4%EB%A1%9C%20%EC%BC%80%EC%9D%B4	
02-2	2020-02-17	00:00:45	05	태구민	https://search.daum.net/search?w=tot&q=%ED%83%9C%EA%B5%AC%EB%AF%BC	
02-2	2020-02-17	00:00:45	06	프랑스	https://search.daum.net/search?w=tot&q=%ED%94%84%EB%9E%91%EC%8A%A4	
02-2	2020-02-17	00:00:45	07	저널리즘 토크쇼 J	https://search.daum.net/search?w=tot&q=%EC%A0%80%EB%84%90%EB%A6%AC%EC%A6%98%20%ED%86%A0%ED%81%AC%EC%87%BC%20J	
02-2	2020-02-17	00:00:45	08	이명박	https://search.daum.net/search?w=tot&q=%EC%9D%B4%EB%AA%85%EB%B0%95	
02-2	2020-02-17	00:00:45	09	캄보디아	https://search.daum.net/search?w=tot&q=%EC%BA%84%EB%B3%B4%EB%94%94%EC%95%84	
02-2	2020-02-17	00:00:45	10	강원도	https://search.daum.net/search?w=tot&q=%EA%B0%95%EC%9B%90%EB%8F%84	
02-3	2020-02-17	00:00:45	01	서지혜 김정현	https://search.daum.net/search?w=tot&q=%EC%84%9C%EC%A7%80%ED%98%9C%20%EA%B9%80%EC%A0%95%ED%98%84	
02-3	2020-02-17	00:00:45	02	본 대로 말하라	https://search.daum.net/search?w=tot&q=%EB%B3%B8%20%EB%8C%80%EB%A1%9C%20%EB%A7%90%ED%95%98%EB%9D%BC	
02-3	2020-02-17	00:00:45	03	한석준 딸	https://search.daum.net/search?w=tot&q=%ED%95%9C%EC%84%9D%EC%A4%80%20%EB%94%B8	
02-3	2020-02-17	00:00:45	04	김정난	https://search.daum.net/search?w=tot&q=%EA%B9%80%EC%A0%95%EB%82%9C	
02-3	2020-02-17	00:00:45	05	김희철	https://search.daum.net/search?w=tot&q=%EA%B9%80%ED%9D%AC%EC%B2%A0	
02-3	2020-02-17	00:00:45	06	도경완	https://search.daum.net/search?w=tot&q=%EB%8F%84%EA%B2%BD%EC%99%84	
02-3	2020-02-17	00:00:45	07	이휘재 아들	https://search.daum.net/search?w=tot&q=%EC%9D%B4%ED%9C%98%EC%9E%AC%20%EC%95%84%EB%93%A4	
02-3	2020-02-17	00:00:45	08	벤틀리 해밍턴	https://search.daum.net/search?w=tot&q=%EB%B2%A4%ED%8B%80%EB%A6%AC%20%ED%95%B4%EB%B0%8D%ED%84%B4	
