target	date	time	rank	title	contents	urls
04	2020-02-04	00:00:05	01	중 동방항공 논란.."외국인 승무원 중 한국인만 국내선 투입"	[앵커] 신종 코로나바이러스가 확산된 이후 중국의 한 항공사가 한국인 승무원들을 중국의 국내선에 투입한 걸 놓고 논란이 일고 있습니다. 한국인 승무원들은 "외국인..	http://v.media.daum.net/v/20200203213825124
04	2020-02-04	00:00:05	02	[세계는 그리고 우리는] 전광훈 "신종코로나, 문재인의 죄 때문에 창궐했다" 파문	■ 프로그램 : 이승원의 세계는 그리고 우리는 (MBC 라디오 표준FM 95.9Mhz / 평일저녁 6시5분) ■ 출연자 : 권지연 기독교 시민단체 ‘평화나무’ 뉴..	http://v.media.daum.net/v/20200203204133406
04	2020-02-04	00:00:05	03	'사탐 일타' 이지영 강사 포교 논란..이투스 "상황 파악중"	(서울=뉴스1) 윤다정 기자,조현기 기자 = 이투스교육 소속 사회탐구 영역 '1타 강사' 이지영씨가 학생들을 대상으로 포교 활동을 하고 있다는 의혹이 제기되면서 ..	http://v.media.daum.net/v/20200203170900507
04	2020-02-04	00:00:05	04	중, 택배기사가 '슈퍼전파자' 비상.."이번 주, 중대 기로"	[앵커] 신종 코로나바이러스로 인한 사망자 수가 361명으로 늘었습니다. 발병한 지 두 달도 안돼서 2003년 중증 급성 호흡기 증후군, 이른바 사스 때 사망자 ..	http://v.media.daum.net/v/20200203204018382
04	2020-02-04	00:00:05	05	WHO 사무총장 "신종코로나 억제하려 여행 방해 안돼" 재언급	(제네바=연합뉴스) 임은진 특파원 = 세계보건기구(WHO)의 테드로스 아드하놈 게브레예수스 사무총장은 3일(현지시간) 신종 코로나바이러스 억제를 위해 여행과 교역..	http://v.media.daum.net/v/20200203223734721
04	2020-02-04	00:00:05	06	12번 환자 '360명' 접촉?..보건소 갔다 또 마트에	[뉴스데스크] ◀ 앵커 ▶ 접촉자 수가 가장 많은 확진자는 일본에서 감염돼 국내에 들어온 12번째 환자입니다. 저희가 이 환자의 국내 동선을 추적해 봤는데요. 본..	http://v.media.daum.net/v/20200203195207714
04	2020-02-04	00:00:05	07	[바로간다] 큰스님들 '세븐포커'판..새벽 3시에 멈춘 이유는	[뉴스데스크] ◀ 기자 ▶ <바로간다>, 인권사회팀 신수아 기자입니다. 충북 보은의 법주사에서 큰 스님들이 상습적으로 도박판을 벌였단 제보가 들어왔습니다. 1천만..	http://v.media.daum.net/v/20200203203407303
04	2020-02-04	00:00:05	08	'12번 확진자'와 엘리베이터 같이탄 일병..생활관 전원 격리	육군 모 부대 소속 A일병이 신종 코로나바이러스 감염증 '12번 확진자'와 함께 엘리베이터에 탑승했던 사실이 확인됐다. A일병 소속 부대는 A일병을 포함한 생활관..	http://v.media.daum.net/v/20200203210559749
04	2020-02-04	00:00:05	09	전국 어린이집 3000곳, 임시 휴원키로..애타는 부모들	[앵커] 3천 곳이 넘는 어린이집과 유치원, 학교도 임시로 문을 닫기로 했습니다. 물론, 아이를 집에서 볼 사람이 없을 땐, 나오게 했지만, 내 아이만 덩그러니 ..	http://v.media.daum.net/v/20200203204213420
04	2020-02-04	00:00:05	10	범죄자 '개인 사무실' 된 중앙지검 검사실.."자금관리 지시"	■ 수감 중 1조대 사기범…검사 방에서 범죄 모의? [앵커] 만 명이 넘는 피해자, 그리고 이 가운데 수십 명이 목숨을 끊었던 1조 원대 다단계 사기의 주범이 구..	http://v.media.daum.net/v/20200203212012922
04	2020-02-04	00:00:05	11	황교안은 '종로' 피하는데 '왜 우리만'..한국당 TK '부글부글'	자유한국당이 ‘티케이(TK·대구경북) 물갈이론’으로 술렁이고 있다. 티케이 지역구 의원들이 거세게 반발하는 가운데 중진들의 험지 차출도 당사자들의 저항에 부닥치면..	http://v.media.daum.net/v/20200203222604633
04	2020-02-04	00:00:05	12	[단독] 한밤 지도교사의 성범죄..'6호 시설' 아이들의 절규	[뉴스데스크] ◀ 앵커 ▶ 상대적으로 범죄 행위가 가벼운 소년범들이 소년원 대신 보내지는 '6호 처분 시설'이라는 곳이 있습니다. 천주교의 한 수도회가 운영하는 ..	http://v.media.daum.net/v/20200203203717352
04	2020-02-04	00:00:05	13	12번 아내 14번 환자, 밤늦게 신종 코로나 증상 느끼고도 다음날 마트행	[세종=뉴시스] 임재희 기자 = 국내 12번째 확진 환자가 일본인 환자로부터 신종 코로나바이러스 감염증 검사를 권유받은 건 지난달 29일인 것으로 확인됐다. 일본..	http://v.media.daum.net/v/20200203153347539
04	2020-02-04	00:00:05	14	신종코로나에 성난 중국 민심..'미드 체르노빌' 보며 체제 비판	(상하이=연합뉴스) 특파원 = "진정한 위험은 거짓말을 하도 많이 듣다 보면 무엇이 사실인지를 알 길이 없어지게 된다는 것이다." '可樂****'이라는 아이디를 ..	http://v.media.daum.net/v/20200203203845366
04	2020-02-04	00:00:05	15	'밥은 먹고 다니냐' 서동주, 5년만에 이혼.. "선 봐서 결혼, 내가 없어지는 기분" [Oh!쎈 리뷰]	[OSEN=김예솔 기자] 서동주가 5년 만에 이혼한 사연을 공개했다.   3일에 방송된 SBSplus '김수미의 밥은 먹고 다니냐'에서는 서세원과 서정희의 딸이자..	http://v.media.daum.net/v/20200203222511619
04	2020-02-04	00:00:05	16	성준, 깜짝 고백 "군 복무 중 결혼과 2세 출산, 인생의 가장 큰 기쁨" [공식입장]	[엑스포츠뉴스 황수연 기자] 배우 성준이 군 제대를 7개월 앞두고 상근 예비역으로 보직을 변경했다. 이유는 결혼과 2세 출산이었다.  3일 소속사 오앤엔터테인먼트..	http://v.media.daum.net/v/20200203180245668
04	2020-02-04	00:00:05	17	'진해 가짜뉴스' 유포자 붙잡아.."별생각 없이 한 장난"	[앵커] 이런 상황에서 사람들을 더 불안하게 하는 게 확인되지 않은 허위 정보들입니다. 경찰이 강력하게 대응하겠다고 했고 최초 유포자가 처음으로 붙잡혔습니다. 별..	http://v.media.daum.net/v/20200203205017543
04	2020-02-04	00:00:05	18	삼성 두번째 폴더블폰 '갤럭시Z 플립' 영상 유출..한 손에 '쏙'	[서울=뉴시스] 김혜경 기자 = 삼성전자가 이달 공개 예정인 두 번째 폴더블폰 '갤럭시Z 플립'의 실제 사용 모습이 담긴 영상이 유출됐다. 3일(현지시간) 샘모바..	http://v.media.daum.net/v/20200203192013270
04	2020-02-04	00:00:05	19	대구 동을, 팽팽한 3파전.."朴 탄핵 입장, 영향" 60.1%	<앵커> 저희 SBS는 총선 관심 지역에 대한 여론조사를 지난주 실시했습니다. 어제(2일)부터 그 결과를 전해드리고 있는데요, 오늘은 대구 동을과 부산 북강서갑 ..	http://v.media.daum.net/v/20200203211205824
04	2020-02-04	00:00:05	20	확진자 다녀가 휴업했는데..직원들엔 "업무 있으면 출근하라"	[앵커] 12번째 확진자가 다녀간 면세점은 어제(2일)부터 휴업 중입니다. 그런데 여기서 일하는 판매직 직원들한테 이 사실을 뒤늦게 알렸고 심지어 휴업 중에 출근..	http://v.media.daum.net/v/20200203221215490
04	2020-02-04	00:00:05	21	"다 보고 있다"..구청 CCTV에 딱 걸린 도심 마약 거래	[뉴스데스크] ◀ 앵커 ▶ 서울의 한 아파트 단지에서 마약을 거래하던 남성들이 경찰에 붙잡혔습니다. 사람들의 인적이 드문 한밤중에 거래가 이뤄졌는데, CCTV를 ..	http://v.media.daum.net/v/20200203203717351
04	2020-02-04	00:00:05	22	[사실은] 중국인 의료비 '먹튀'?..지출액 살펴봤습니다	<앵커> 이런 가운데 세계보건기구는 최근 번지고 있는 신종코로나 가짜뉴스도 심각한 수준이라면서 인포데믹, 즉 정보감염증이라고 명명했습니다. 저희도 쏟아지는 유언비..	http://v.media.daum.net/v/20200203204505461
04	2020-02-04	00:00:05	23	양수경, 남편에게 상속받은 98억 채권 미신고 양도로 벌금형	가수 양수경씨가 남편에게 상속받은 수십억원 상당의 채권을 한국은행에 신고하지 않아 벌금형을 선고받았다. 3일 법조계에 따르면 서울중앙지법 형사18단독(박상구 부장..	http://v.media.daum.net/v/20200203111517881
04	2020-02-04	00:00:05	24	부산서 생후 하루 된 아기 숨진 채 발견	(부산=연합뉴스) 김선호 기자 = 부산에서 태어난 지 하루 된 신생아가 숨진 채 발견돼 경찰이 수사에 나섰다. 경찰은 생모를 유력 용의자로 특정하고 조사할 예정이..	http://v.media.daum.net/v/20200203194233582
04	2020-02-04	00:00:05	25	중앙선 넘은 무면허 차량에..8살 쌍둥이 '참변'	[뉴스데스크] ◀ 앵커 ▶ 어제 경기 포천의 한 도로에서 마주오던 차량 두 대가 충돌 하면서 뒷좌석에 타고 있던 여덟살 쌍둥이 자매가 숨졌습니다. 중앙선을 넘어온..	http://v.media.daum.net/v/20200203203407304
04	2020-02-04	00:00:05	26	확진자 첫 '퇴원' 임박.."중증 환자도 아직 없다"	[뉴스데스크] ◀ 앵커 ▶ 현재 병원에서 격리 치료를 받고 있는 확진자들 중에선 완치 소식도 들려오고 있습니다. 곧 퇴원 절차를 밟는다고 하는데, 현장 연결해 알..	http://v.media.daum.net/v/20200203200707952
